"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
16,4,16,2,"true","false",512,512,8.53122427671609e-09
18,6,4,4,"true","false",1024,16,2.26161406354457e-10
18,6,16,2,"true","false",256,1,6.01092772653675e-10
16,4,4,4,"true","true",256,4,1.6171133481285e-10
1,1,8,4,"true","true",64,32,1.32050068244709e-08
16,4,4,2,"true","false",1024,8,1.97326009139868e-10
6,2,8,2,"true","false",32,8,1.66330560269138e-09
20,5,4,2,"true","false",128,4,1.49116436529261e-10
2,1,8,4,"true","true",32,4,1.86970048328098e-09
4,1,8,4,"true","true",32,4,9.92119913347363e-10
24,6,8,2,"true","false",256,128,2.06521170881126e-09
12,4,8,2,"true","true",128,64,2.62879504833847e-09
4,2,8,2,"true","false",256,64,2.40098952085704e-09
1,1,8,4,"true","false",64,32,1.32226067026377e-08
12,6,4,2,"true","true",64,16,1.20450808740492e-09
4,1,1,2,"true","false",1024,64,3.96961760807533e-10
6,3,4,2,"true","true",64,1,3.04230470680593e-10
9,3,1,4,"true","false",256,1,1.98499975299599e-10
8,2,8,4,"true","false",512,1,3.42249936313808e-10
16,4,1,2,"true","true",512,32,2.2314720161422e-10
8,2,8,2,"true","false",1024,4,3.87049032495944e-10
10,5,8,4,"true","true",64,8,9.8447331426693e-10
10,5,4,4,"true","true",128,8,3.7835558623446e-10
1,1,16,4,"true","false",128,8,3.19876573086551e-09
4,2,16,4,"true","false",256,256,1.54250944764659e-08
10,5,4,4,"true","false",32,2,4.04157166898781e-10
18,6,8,4,"true","true",256,128,2.734328611547e-09
4,2,1,4,"true","true",64,4,2.97404854379157e-10
16,4,2,2,"true","true",128,2,1.63943502495422e-10
4,4,2,2,"true","true",256,8,2.72996307327811e-10
5,5,8,2,"true","false",64,32,7.34634678051418e-09
20,5,4,2,"true","true",512,32,2.13888336184871e-10
9,3,16,4,"true","false",256,8,5.56960717431343e-10
1,1,8,2,"true","true",1024,4,1.5585728778721e-09
9,3,8,4,"true","false",512,4,3.28879539993194e-10
8,4,4,4,"true","false",256,8,2.61569932981423e-10
1,1,1,2,"true","true",512,256,2.69550377095144e-09
18,6,2,2,"true","false",256,1,1.86832294672104e-10
3,1,4,2,"true","true",512,64,8.88539204788727e-10
20,5,4,2,"true","false",1024,4,1.90380452121864e-10
3,3,8,4,"true","true",256,16,1.1867740377524e-09
4,2,2,2,"true","false",1024,1,2.0297682756379e-10
8,4,16,2,"true","true",256,256,1.50674831842462e-08
6,3,8,4,"true","false",128,128,8.32232914174759e-09
9,3,1,2,"true","true",1024,256,9.80319750258818e-10
10,5,16,2,"true","true",512,64,1.93915210323835e-09
