"","elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
"11881",20,5,8,2,"true","false",32,4,5.32605805892099e-10
"5594",2,1,16,2,"true","false",512,64,2.89406916208658e-09
"10449",8,4,1,2,"true","true",256,2,1.46003801983851e-10
"13937",15,5,2,4,"true","true",1024,128,5.63850132171646e-10
"22098",5,5,1,2,"true","false",512,4,1.17865496298058e-10
"21607",12,3,4,2,"true","true",1024,16,2.14384356403508e-10
"10858",10,5,1,2,"true","true",256,64,7.41240661216984e-10
"7132",20,5,1,2,"true","true",512,256,1.43059403954881e-09
"18072",3,3,1,2,"true","true",1024,8,1.36548767259252e-10
"11774",16,4,1,4,"true","true",64,1,1.56614620329246e-10
"7055",16,4,1,2,"true","true",128,1,1.57236511160692e-10
"2969",4,1,8,4,"true","true",512,32,5.95925918686657e-10
"16239",6,2,8,4,"true","true",512,32,5.62763926815078e-10
"19786",24,6,2,4,"true","true",128,2,1.41639115932257e-10
"18761",20,5,2,2,"true","false",512,64,3.69455344182551e-10
"9218",6,3,8,2,"true","false",512,32,6.43944508854397e-10
"3233",4,4,1,2,"true","true",128,32,7.3513651782463e-10
"16192",9,3,4,2,"true","true",256,8,2.23786994406016e-10
"16564",18,6,1,4,"true","false",128,1,1.63005055713304e-10
"10199",24,6,4,2,"true","false",1024,64,2.56559584262886e-10
"4943",4,1,4,2,"true","false",512,16,3.14105110698031e-10
"17988",18,6,1,2,"true","true",128,32,7.20926805258904e-10
"3705",4,2,8,2,"true","true",512,16,4.86559085790228e-10
"20706",5,5,8,2,"true","false",512,128,4.10757110180724e-09
"16289",12,6,2,2,"true","false",1024,128,4.55095564015427e-10
"12755",24,6,1,2,"true","false",256,2,1.4432792983405e-10
"6897",20,5,1,2,"true","true",256,64,6.67257734339872e-10
"7301",8,2,1,4,"true","false",128,4,2.07899614413689e-10
"1521",4,4,1,4,"true","false",512,8,1.25366521299284e-10
"1551",4,4,1,4,"true","true",256,2,1.24879203669815e-10
"20671",20,5,2,2,"true","false",256,4,1.48858292705467e-10
"16934",12,6,2,2,"true","true",512,32,2.25054723914897e-10
"109",3,3,1,4,"true","false",128,2,1.36120252443834e-10
"1526",4,4,2,2,"true","false",256,128,3.04484622915088e-09
"12347",20,5,2,4,"true","true",256,2,1.50684918849133e-10
"14796",18,6,1,2,"true","true",64,2,1.65778334083565e-10
"14318",9,3,4,4,"true","true",512,2,2.22407132745234e-10
"17639",8,2,2,2,"true","false",128,1,2.04811532627718e-10
"17875",5,5,2,4,"true","false",512,64,7.86206040666593e-10
"4541",4,2,1,2,"true","false",256,2,1.79879678295205e-10
"21225",12,6,2,4,"true","true",512,8,1.36501235016115e-10
"6418",5,5,1,2,"true","false",128,2,1.18427245214453e-10
"17360",12,3,2,4,"true","true",128,2,1.73768901026441e-10
"792",4,2,1,2,"true","false",128,1,1.81710718902162e-10
"1091",3,3,1,4,"true","false",128,2,1.36120252443834e-10
"23063",12,3,1,2,"true","true",256,2,1.74188710173769e-10
"12642",9,3,4,2,"true","false",128,16,5.34609675661637e-10
"14241",8,4,2,2,"true","true",128,4,1.4493093093373e-10
"235",4,4,8,2,"true","false",32,16,7.27102742717321e-09
"14134",6,6,1,4,"true","true",1024,2,1.18398283203908e-10
"7768",6,3,2,2,"true","false",128,4,1.5817793699039e-10
"21142",5,5,1,2,"true","true",512,16,1.25137945842182e-10
"20474",10,5,2,4,"true","false",1024,512,1.91114655962754e-09
"607",3,1,4,2,"true","false",256,8,3.68599901039091e-10
"18049",6,6,1,4,"true","false",128,8,1.94072077229842e-10
"4588",2,2,1,2,"true","false",128,2,1.5624413559592e-10
"16482",6,3,2,4,"true","true",1024,2,1.61135947928759e-10
"1489",4,1,4,2,"true","false",256,8,3.10651886458004e-10
"6159",4,1,2,2,"true","true",512,64,6.52604496637158e-10
"6492",15,5,8,2,"true","true",1024,64,5.13064930857826e-10
"6083",4,2,1,2,"true","true",256,4,1.80536216891147e-10
"4735",2,1,4,4,"true","false",32,16,4.55488307749017e-09
"9279",24,6,4,4,"true","true",128,1,1.42986124513889e-10
"16472",16,4,4,2,"true","false",64,1,1.57541884431333e-10
"5435",4,1,4,2,"true","true",128,1,3.00554927648439e-10
"17599",8,2,4,2,"true","false",256,4,2.07214474054074e-10
"1075",2,2,8,2,"true","false",512,32,1.36464465824989e-09
"4892",4,4,1,2,"true","true",32,16,1.43697054485493e-09
"4952",2,1,4,2,"true","true",32,16,4.54831441462994e-09
"19264",15,5,1,2,"true","false",256,2,1.71942181502046e-10
"6414",10,5,8,2,"true","false",256,64,1.97809814059686e-09
"14013",6,6,8,2,"true","false",128,4,6.08598914198996e-10
"5793",4,4,1,4,"true","true",512,2,1.23999015246297e-10
"45411",4,2,1,2,"true","false",256,2,1.79879678295205e-10
"14679",6,3,1,2,"true","true",256,128,1.63503473636992e-09
"970",4,2,4,2,"true","true",128,16,8.76347930768302e-10
"18086",12,3,2,2,"true","false",128,2,1.73812692295894e-10
"19466",12,6,2,4,"true","true",512,128,7.93045770503164e-10
"3260",3,3,8,4,"true","true",512,256,8.88348666194394e-09
"10667",16,4,8,4,"true","true",128,8,3.30869183574901e-10
"3916",4,1,4,2,"true","false",64,1,3.01655269263187e-10
"21993",20,5,4,4,"true","true",128,1,1.48373401207609e-10
"20013",6,2,1,4,"true","false",512,128,9.9978950689115e-10
"45881",2,2,1,2,"true","false",128,2,1.5624413559592e-10
"4988",2,2,1,4,"true","true",256,16,2.6635478882476e-10
"20413",15,5,1,4,"true","false",128,4,1.73683539970295e-10
"14256",6,3,1,4,"true","true",512,8,1.5860983883948e-10
"19977",5,5,1,4,"true","true",512,128,7.97980812082284e-10
"5561",4,4,4,4,"true","false",128,32,2.51440639007117e-09
"7911",6,2,1,4,"true","true",128,8,3.30891011992983e-10
"11951",6,3,4,4,"true","true",256,16,4.35031925093941e-10
"9843",6,6,1,2,"true","false",256,4,1.17149348789584e-10
"17918",12,3,4,4,"true","true",512,8,1.78735179382535e-10
"19789",8,2,4,2,"true","true",256,2,2.05341983808708e-10
"13684",12,3,2,2,"true","false",256,4,1.74609599331375e-10
"6648",15,5,8,4,"true","false",128,8,4.23925307339362e-10
"21985",20,5,2,2,"true","true",128,32,6.32066971254029e-10
"1092",3,3,1,4,"true","false",128,2,1.36120252443834e-10
"21247",24,6,4,2,"true","true",32,8,6.0322678832412e-10
"9656",8,4,2,4,"true","false",256,16,2.34981376084071e-10
"1999",3,3,1,4,"true","false",512,2,1.35341152549115e-10
"4519",4,4,4,4,"true","true",256,128,5.25040238922695e-09
"11400",9,3,8,2,"true","false",128,8,4.73381122385418e-10
"17096",6,2,4,2,"true","false",1024,32,3.00595566866042e-10
"77681",6,3,2,2,"true","false",128,4,1.5817793699039e-10
"17930",5,5,1,2,"true","true",256,4,1.17379768662026e-10
"11618",2,1,2,2,"true","true",1024,8,2.50807208898201e-10
"20349",10,5,1,2,"true","true",128,2,1.43886857500089e-10
"17361",3,3,1,4,"true","true",1024,2,1.39399631012218e-10
"16974",12,3,1,4,"true","true",128,2,1.72925900783062e-10
"10080",12,6,2,4,"true","true",256,2,1.35761365941573e-10
"8422",8,2,4,4,"true","false",512,4,2.07668615016469e-10
"21311",24,6,4,2,"true","false",512,256,1.45145443538782e-09
"2809",2,2,8,4,"true","false",512,16,8.42342422051063e-10
"114001",9,3,8,2,"true","false",128,8,4.73381122385418e-10
"10142",6,6,2,2,"true","false",1024,128,8.85254030120932e-10
"17211",9,3,4,2,"true","false",256,2,2.21233294076482e-10
"47351",2,1,4,4,"true","false",32,16,4.55488307749017e-09
"13668",20,5,1,4,"true","true",64,1,1.47379046541376e-10
"3034",2,2,1,2,"true","false",512,4,1.55269439447837e-10
"19696",9,3,4,4,"true","true",64,2,2.26429654944439e-10
"17534",5,5,1,4,"true","false",512,32,2.09398753677232e-10
"21787",12,3,4,2,"true","true",128,1,1.73834988002712e-10
"7208",12,3,1,2,"true","false",256,4,1.75882140264378e-10
"100801",12,6,2,4,"true","true",256,2,1.35761365941573e-10
"8863",4,2,2,2,"true","true",1024,8,1.74376790866456e-10
"18559",12,3,2,4,"true","false",128,16,3.94884321031316e-10
"17219",12,6,8,4,"true","true",128,32,1.8594147579996e-09
"21499",6,3,2,4,"true","true",512,16,1.58856018236221e-10
"6239",3,3,1,4,"true","true",256,4,1.35697524537269e-10
"19660",6,3,1,4,"true","false",512,256,1.71117974395783e-09
"8734",8,2,4,4,"true","false",128,8,2.7547156234401e-10
"18371",8,4,2,2,"true","true",1024,16,1.43169217579077e-10
"11347",10,5,1,2,"true","true",128,4,1.43724384012191e-10
"22296",6,3,2,2,"true","false",256,32,4.39822901389376e-10
"4969",3,1,2,2,"true","false",512,256,3.0659440074019e-09
"14692",12,4,8,2,"true","false",128,16,7.25843512302343e-10
"20514",8,4,2,2,"true","false",128,1,1.44946489136578e-10
"3773",2,1,8,2,"true","true",512,64,1.80953526268186e-09
"11651",18,6,1,2,"true","true",1024,64,3.06376040215022e-10
"5971",4,4,16,2,"true","false",128,8,1.89382406975474e-09
"19013",12,6,2,2,"true","false",128,2,1.38159240037189e-10
"16927",12,4,8,4,"true","true",128,16,7.23900732614641e-10
"1415",4,2,16,2,"true","true",512,64,2.12232016692834e-09
"20530",12,3,4,2,"true","true",64,8,3.93026585140603e-10
"142411",8,4,2,2,"true","true",128,4,1.4493093093373e-10
"5753",4,1,4,4,"true","false",512,8,3.06723710090796e-10
"204131",15,5,1,4,"true","false",128,4,1.73683539970295e-10
"70551",16,4,1,2,"true","true",128,1,1.57236511160692e-10
"20833",12,6,1,4,"true","true",128,32,6.95491990875822e-10
"1093",3,3,1,4,"true","false",128,2,1.36120252443834e-10
"7698",10,5,2,4,"true","true",512,2,1.42353070684658e-10
"12317",6,2,2,2,"true","true",1024,512,2.40590050328489e-09
"3505",4,1,8,4,"true","true",32,16,3.36108700135771e-09
"197861",24,6,2,4,"true","true",128,2,1.41639115932257e-10
"22834",8,2,4,2,"true","true",256,4,2.05958342600532e-10
"7318",12,3,1,2,"true","true",1024,16,2.1340666844676e-10
"7004",6,2,1,2,"true","true",256,64,9.94401956086144e-10
"13708",5,5,8,2,"true","true",512,128,4.12873767979385e-09
"12655",2,1,2,2,"true","false",1024,8,2.50111116142312e-10
"22893",12,4,4,2,"true","true",128,16,4.92410297840618e-10
"21362",18,6,4,2,"true","false",64,2,1.84551837435773e-10
"5173",2,1,2,2,"true","true",128,2,2.69262520295719e-10
