"","elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
"18429",20,5,8,2,"true","false",32,8,9.55294936629593e-10
"4429",1,1,16,2,"true","false",256,128,2.10381271725495e-08
"20519",8,4,1,2,"true","true",128,2,1.46830400694326e-10
"12088",15,5,2,4,"true","true",1024,256,1.06638818949289e-09
"10402",5,5,2,2,"true","false",1024,2,3.05048091689084e-10
"16426",12,4,8,2,"true","true",1024,32,3.71893212048512e-10
"19036",10,5,1,2,"true","true",256,128,1.51185547895377e-09
"16108",20,5,1,2,"true","true",512,512,2.82215868728783e-09
"20921",3,3,2,4,"true","true",1024,8,2.70785940878627e-10
"9638",16,4,1,4,"true","false",32,1,1.74899042513022e-10
"14759",16,4,1,4,"true","false",1024,1,2.14034664338555e-10
"4692",4,1,8,4,"true","true",256,64,1.77466021217936e-09
"11464",6,2,8,4,"true","true",512,64,9.13312754241178e-10
"20351",24,6,8,4,"true","true",128,2,2.13657291047989e-10
"17941",20,5,2,2,"true","false",512,128,7.17531645392016e-10
"21908",6,3,16,2,"true","false",512,64,2.05616351806071e-09
"6170",4,4,1,2,"true","true",128,64,1.47456713859494e-09
"22346",9,3,16,2,"true","true",32,8,2.35127411859421e-09
"16846",18,6,2,4,"true","false",64,1,1.89620592573077e-10
"21389",24,6,4,2,"true","false",1024,128,4.08743325926595e-10
"1723",4,1,4,2,"true","false",512,32,3.91761638804216e-10
"8707",18,6,1,2,"true","true",128,64,1.45767279289098e-09
"2198",4,2,16,2,"true","true",128,32,3.93104368060873e-09
"15745",5,5,8,2,"true","false",512,256,8.76915421072289e-09
"8761",12,6,2,2,"true","false",1024,256,9.68799865473289e-10
"14494",24,6,1,2,"true","false",1024,1,1.9110560617478e-10
"19683",20,5,1,2,"true","true",256,128,1.35444255868491e-09
"19480",8,2,1,4,"true","false",128,8,2.76179181097595e-10
"6057",4,4,16,4,"true","true",512,16,1.55986516059889e-09
"5914",4,4,16,4,"true","false",256,4,1.49219629651968e-09
"22945",20,5,16,2,"true","false",256,4,4.683091812436e-10
"17176",12,6,2,2,"true","true",512,64,4.12072679985372e-10
"4786",3,3,1,2,"true","false",128,2,1.38219594996848e-10
"3107",4,4,2,2,"true","false",256,256,6.32903954406518e-09
"11610",20,5,2,4,"true","true",256,1,1.57485348583037e-10
"10734",18,6,2,4,"true","true",64,2,1.87394479244875e-10
"7931",9,3,16,4,"true","true",512,1,5.89889577395713e-10
"13713",6,2,16,2,"true","false",32,1,7.12098441650981e-10
"12012",5,5,2,4,"true","false",512,128,1.56417343106993e-09
"1506",4,2,1,4,"true","false",256,2,1.93025268058172e-10
"16580",12,6,2,4,"true","true",1024,16,1.49753966654886e-10
"8556",5,5,1,4,"true","false",128,1,1.21549064031158e-10
"17155",12,4,2,4,"true","true",32,4,5.08625081694492e-10
"3815",4,2,4,2,"true","false",128,1,3.38933596451058e-10
"6203",3,3,2,2,"true","true",128,2,2.93757792993245e-10
"22245",12,4,2,2,"true","true",256,4,2.07449117699593e-10
"11840",9,3,4,2,"true","false",64,32,1.87498658268208e-09
"14462",8,4,2,2,"true","false",64,4,2.32103656499331e-10
"4397",4,4,8,2,"true","false",32,32,1.45387807986606e-08
"22544",6,6,4,4,"true","true",1024,1,5.37432016298398e-10
"11787",6,3,8,2,"true","false",256,2,4.09275827548825e-10
"9177",5,5,4,2,"true","true",512,32,7.08502789274088e-10
"9875",10,5,2,4,"true","false",1024,1024,4.1463372250867e-09
"3983",3,1,8,2,"true","false",128,16,1.28511789897515e-09
"14423",6,6,1,4,"true","false",128,16,3.51808115363844e-10
"6332",2,2,4,2,"true","true",64,2,6.03659148605981e-10
"15062",6,3,4,4,"true","true",1024,1,3.5157102661524e-10
"160",4,1,8,2,"true","false",128,16,9.75103127880219e-10
"1902",4,1,2,2,"true","true",512,128,1.20709529484765e-09
"17465",15,5,8,2,"true","true",1024,128,8.5133431446635e-10
"183",4,2,8,2,"true","true",256,4,4.90556433688358e-10
"3838",1,1,4,4,"true","false",32,32,1.83029025466336e-08
"9279",24,6,4,4,"true","true",128,1,1.42986124513889e-10
"10158",16,4,8,2,"true","false",64,1,2.36343725275046e-10
"2186",3,1,8,4,"true","true",128,1,5.4972138872647e-10
"19502",6,2,8,2,"true","false",128,8,5.53407489741443e-10
"2167",2,2,8,2,"true","false",256,64,4.69638029862599e-09
"4422",4,4,2,2,"true","true",32,32,5.67435170144307e-09
"997",1,1,4,2,"true","true",32,32,1.83076010018682e-08
"18939",15,5,2,4,"true","false",128,2,1.95715993520789e-10
"13447",10,5,8,2,"true","false",256,128,4.05102443728615e-09
"12323",6,6,16,2,"true","false",128,8,1.87408703197934e-09
"6295",4,4,16,4,"true","true",512,2,1.8909989753188e-09
"2801",4,1,2,4,"true","false",64,2,3.13204558132862e-10
"7122",6,3,1,2,"true","true",256,256,3.31596356935956e-09
"4673",4,2,4,2,"true","true",64,32,3.19699675630361e-09
"20517",12,3,4,4,"true","false",256,2,1.75531977704642e-10
"14143",12,6,2,4,"true","true",512,256,1.64182363284572e-09
"5487",3,3,8,4,"true","true",512,512,1.79015020914863e-08
"14865",16,4,8,4,"true","true",64,16,1.01422195543646e-09
"4745",3,1,8,2,"true","false",64,1,5.70485841717845e-10
"10994",20,5,8,4,"true","false",256,1,2.4071201592326e-10
"22806",6,2,1,4,"true","false",512,256,1.9207312497287e-09
"916",3,1,1,2,"true","true",128,2,3.32072850940191e-10
"4921",2,2,2,4,"true","true",256,32,9.90090379029647e-10
"12124",15,5,2,4,"true","true",32,4,4.84854253854926e-10
"19757",6,2,1,4,"true","true",512,16,2.35141270925614e-10
"11039",5,5,1,4,"true","true",512,256,1.64382234119537e-09
"4792",4,4,4,4,"true","false",128,64,5.02385506625755e-09
"14643",6,2,1,4,"true","true",64,16,1.00183495164881e-09
"11612",6,3,4,4,"true","true",128,32,1.40702339122417e-09
"18436",6,6,2,2,"true","true",128,4,2.48914056262696e-10
"23101",12,4,4,4,"true","true",1024,16,2.52805367216773e-10
"20069",8,2,16,2,"true","true",128,2,4.86189074695562e-10
"15762",12,4,4,2,"true","false",128,4,2.04332223170412e-10
"14304",15,5,16,4,"true","false",64,16,2.10918893084594e-09
"13519",20,5,2,2,"true","true",128,64,1.28045889876986e-09
"1288",3,3,2,2,"true","false",64,2,3.02841958710635e-10
"11444",24,6,4,2,"true","true",32,16,1.15191506099208e-09
"7757",8,4,4,4,"true","false",256,32,6.95950302411711e-10
"4366",3,3,4,2,"true","true",256,2,5.07965997552296e-10
"3342",4,4,4,4,"true","true",256,256,1.08629054181977e-08
"15240",9,3,8,2,"true","false",64,16,1.4246856164842e-09
"17195",6,2,4,2,"true","false",1024,64,4.25312973679098e-10
"21255",6,3,4,2,"true","false",64,4,4.35941461354324e-10
"14607",5,5,1,2,"true","false",64,4,2.02276861995421e-10
"6043",2,1,16,2,"true","true",512,16,1.12120490557735e-09
"11416",10,5,1,2,"true","true",64,1,1.47333475062558e-10
"13549",3,3,2,4,"true","true",1024,1,2.8885971017523e-10
"9654",12,3,1,2,"true","true",64,2,1.74800798783725e-10
"21279",12,6,2,4,"true","true",256,1,1.38642807344938e-10
"14747",6,2,8,4,"true","false",512,8,3.82469585424444e-10
"8043",24,6,4,2,"true","false",512,512,2.92837754644776e-09
"6061",2,2,16,4,"true","false",256,32,4.02250394907961e-09
"21575",9,3,8,2,"true","false",128,16,7.79726596980799e-10
"20173",6,6,2,2,"true","false",1024,256,1.88999169647622e-09
"17955",9,3,4,2,"true","false",128,2,2.26589681822238e-10
"38381",1,1,4,4,"true","false",32,32,1.83029025466336e-08
"11927",20,5,1,4,"true","true",64,2,1.50390722419754e-10
"1401",2,1,16,4,"true","false",128,8,1.74238707401382e-09
"14266",9,3,8,4,"true","true",64,2,3.24904464490793e-10
"17875",5,5,2,4,"true","false",512,64,7.86206040666593e-10
"10824",12,4,4,2,"true","true",128,2,2.09128533734209e-10
"16596",12,3,1,2,"true","false",256,8,1.76135666962056e-10
"9233",12,6,8,4,"true","true",512,1,5.29971403442482e-10
"505",4,1,2,4,"true","true",512,4,3.03409198969069e-10
"19122",12,3,2,4,"true","false",64,32,1.42399377308377e-09
"22097",12,6,8,4,"true","true",128,64,3.86998171849606e-09
"22040",6,3,2,4,"true","true",512,32,2.50238338821431e-10
"1706",3,3,1,2,"true","true",256,8,1.38228447244168e-10
"10097",6,3,1,4,"true","false",512,512,3.45158637145073e-09
"15381",8,2,4,4,"true","false",128,16,4.6026413300884e-10
"17935",8,4,1,4,"true","true",1024,16,1.68307706694885e-10
"9161",10,5,16,2,"true","true",32,2,1.11232806009403e-09
"22528",6,3,2,2,"true","false",256,64,8.28885920718399e-10
"2481",3,1,2,2,"true","false",512,512,5.97466935660896e-09
"7212",12,4,8,2,"true","false",128,32,1.31342233274516e-09
"11168",8,4,1,4,"true","false",128,2,1.50320317322351e-10
"2631",1,1,8,2,"true","true",128,128,2.59818701362444e-08
"11911",18,6,1,2,"true","true",1024,128,4.89391199903665e-10
"6000",4,4,16,2,"true","false",64,16,6.21283779913265e-09
"8997",12,6,8,2,"true","false",128,1,3.53193864522163e-10
"11399",12,4,8,4,"true","true",64,32,2.57790775055881e-09
"965",4,2,16,2,"true","true",512,128,4.01861341441001e-09
"14176",12,3,4,2,"true","true",32,16,1.38866878298198e-09
"10327",8,4,1,2,"true","true",128,4,1.47694347886898e-10
"1522",4,1,4,4,"true","false",512,16,3.13829379486364e-10
"19450",15,5,1,2,"true","true",128,4,1.76112138465046e-10
"14950",16,4,1,2,"true","true",512,1,1.78562989780687e-10
"8841",12,6,1,4,"true","true",128,64,1.43690577778569e-09
"1200",3,3,4,4,"true","false",128,4,5.26407167520107e-10
"10966",10,5,2,4,"true","true",512,1,1.49443694482041e-10
"20771",6,2,2,2,"true","true",1024,1024,4.77297720942709e-09
"6296",4,1,8,4,"true","true",32,32,6.49495263495467e-09
"19895",24,6,4,4,"true","true",128,2,1.44687016274793e-10
"13744",6,2,8,2,"true","true",128,8,5.53238660040255e-10
"22856",12,3,1,2,"true","true",1024,32,2.20662132164683e-10
"15345",6,2,1,2,"true","true",128,128,3.67184945143777e-09
"22668",5,5,8,2,"true","true",512,256,8.75844403735917e-09
"2078",1,1,16,2,"true","false",256,4,1.98600516315108e-09
"14476",12,4,4,2,"true","true",128,32,8.82389659735104e-10
"18601",18,6,8,2,"true","false",64,2,2.75600108472537e-10
"1809",2,1,16,4,"true","false",32,1,1.3341744572457e-09
"13072",10,5,16,2,"true","false",128,8,1.03677395597934e-09
"23033",12,4,8,2,"true","false",256,64,1.35977502868959e-09
"3062",2,2,8,2,"true","true",512,32,1.36865988973114e-09
"14278",12,3,4,2,"true","true",1024,128,4.51012695217577e-10
"11044",5,5,2,2,"true","true",1024,32,2.79632319100589e-10
"13506",12,3,8,2,"true","true",32,4,6.08306958751829e-10
"10844",6,3,8,2,"true","true",512,8,4.17251231286503e-10
"1992",4,4,4,4,"true","false",256,8,4.70302380309637e-10
"20799",9,3,2,4,"true","true",256,16,3.26734697691597e-10
"2287",4,1,4,4,"true","true",512,64,6.5343132471478e-10
"20594",6,6,16,4,"true","true",32,2,1.94049299920326e-09
"22181",12,3,16,2,"true","true",1024,1024,9.03177162350418e-09
"21326",8,2,2,4,"true","false",1024,512,1.82531733441361e-09
"22710",8,2,1,4,"true","false",64,8,4.58398524557351e-10
"4640",4,1,8,2,"true","true",512,512,6.49904555397124e-09
"11198",16,4,16,2,"true","false",32,1,4.59792564524653e-10
"437",1,1,1,4,"true","false",32,32,5.37447278491199e-09
"20660",12,4,1,4,"true","true",32,2,2.85776609226297e-10
"4822",2,1,2,4,"true","false",512,32,4.16256003943555e-10
"5423",4,2,16,2,"true","true",512,8,8.11884003108162e-10
"11531",8,2,16,2,"true","false",256,128,3.90225668456597e-09
"21089",8,4,4,4,"true","false",32,32,4.85131601585298e-09
"7717",6,2,4,2,"true","false",64,64,4.28319549157165e-09
"18211",5,5,1,2,"true","false",1024,16,1.28007775980029e-10
"5728",4,4,4,2,"true","true",512,1,4.60414464533748e-10
"16502",5,5,16,2,"true","false",128,16,3.18100441969631e-09
"1017",4,4,1,4,"true","false",64,8,3.82250657325991e-10
"1474",1,1,8,4,"true","false",32,1,1.60801751144747e-09
"5316",1,1,16,4,"true","true",128,128,4.20259742578911e-08
"4199",4,2,2,4,"true","true",128,1,1.87192637095172e-10
"9168",12,4,4,4,"true","true",128,128,3.52633731399994e-09
"12162",6,2,1,4,"true","true",32,1,2.73302467753878e-10
"11460",15,5,2,2,"true","false",512,8,1.98802150280916e-10
"20834",15,5,4,2,"true","false",256,32,4.72210025130864e-10
"3819",2,2,2,4,"true","false",256,4,3.38206333531345e-10
"10846",12,6,16,4,"true","false",256,64,3.56812384354402e-09
"13543",8,2,8,4,"true","false",128,128,4.60665131647221e-09
"18781",10,5,4,4,"true","true",128,4,2.44676560422124e-10
"20438",8,2,8,4,"true","false",1024,2,4.07217990169696e-10
"8104",5,5,1,2,"true","false",64,32,1.41509223907457e-09
"3837",4,2,4,4,"true","true",128,64,3.17336957404482e-09
"11752",6,3,1,4,"true","true",1024,64,2.64124015563851e-10
"15144",8,2,2,4,"true","true",512,8,2.07946104835334e-10
"1714",3,1,1,2,"true","true",512,32,4.84464907416974e-10
"17857",8,4,2,4,"true","false",1024,256,9.16786979534194e-10
"7616",9,3,16,2,"true","false",64,1,5.86116616475888e-10
"2110",3,3,16,2,"true","true",64,1,1.52755240091595e-09
