"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
2,1,2,2,"true","true",1024,8,2.50807208898201e-10,8,"GR"
20,5,4,2,"true","true",512,128,7.18382200023918e-10,1,"GR"
8,2,4,4,"true","true",512,4,2.08219431886914e-10,3,"GR"
18,6,4,2,"true","true",64,8,4.52268548978586e-10,1,"GR"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,3,"GR"
8,2,1,4,"true","true",64,2,2.08997610621619e-10,2,"GR"
6,6,1,4,"true","true",1024,32,1.28655386741334e-10,1,"GR"
12,6,4,4,"true","false",128,64,2.51857353167841e-09,1,"GR"
4,2,1,2,"true","false",128,4,1.82042982321722e-10,2,"GR"
2,1,2,2,"true","false",256,2,2.67289741297437e-10,4,"GR"
3,3,4,2,"true","false",128,32,2.73843838589198e-09,1,"GR"
8,2,1,4,"true","true",32,8,8.47110766705421e-10,1,"GR"
24,6,1,2,"true","false",1024,16,1.83632491074325e-10,1,"GR"
2,2,16,2,"true","true",512,32,2.22754102692922e-09,1,"GR"
15,5,8,4,"true","false",64,2,2.86634223877136e-10,2,"GR"
2,1,2,2,"true","true",128,8,4.12673481292086e-10,3,"GR"
8,2,1,4,"true","true",128,1,2.04604553028003e-10,5,"GR"
3,1,4,4,"true","false",512,16,3.73200638003963e-10,2,"GR"
2,2,16,2,"true","false",256,64,7.69026041125351e-09,1,"GR"
6,6,4,4,"true","false",128,16,1.19988495163321e-09,1,"GR"
2,2,1,2,"true","false",128,2,1.5624413559592e-10,3,"GR"
10,5,2,4,"true","true",512,4,1.40742193789431e-10,4,"GR"
4,2,8,2,"true","false",1024,256,2.62155421351368e-09,1,"GR"
2,1,2,4,"true","false",1024,16,2.50825972132783e-10,5,"GR"
16,4,1,2,"true","true",1024,128,4.071741778942e-10,1,"GR"
2,2,1,2,"true","true",512,2,1.55670767533719e-10,2,"GR"
6,3,8,4,"true","false",128,32,2.07536844932488e-09,2,"GR"
4,1,4,2,"true","true",512,2,3.12002142863128e-10,3,"GR"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,2,"GR"
6,3,2,2,"true","false",1024,8,1.53473671916505e-10,2,"GR"
4,2,1,2,"true","true",256,8,1.81295241318663e-10,2,"GR"
6,2,16,2,"true","true",256,16,8.90659018169985e-10,3,"GR"
6,2,16,2,"true","false",256,128,5.16240291170811e-09,1,"GR"
8,4,2,2,"true","true",1024,8,1.43640248161835e-10,3,"GR"
6,3,8,2,"true","true",1024,64,7.25609328595628e-10,1,"GR"
16,4,4,2,"true","true",256,8,1.6040413531583e-10,3,"GR"
3,3,8,2,"true","false",512,32,1.1936608460077e-09,2,"GR"
20,5,2,2,"true","false",64,1,1.4731005264292e-10,2,"GR"
6,6,1,4,"true","false",128,2,1.18718825467539e-10,3,"GR"
6,3,2,4,"true","false",1024,128,4.82561504672366e-10,1,"GR"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,6,"GR"
6,6,4,4,"true","true",32,16,4.42542378957248e-09,1,"GR"
12,6,8,4,"true","true",256,32,1.01899675101711e-09,1,"GR"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,5,"GR"
6,3,2,4,"true","false",1024,16,1.52554038682594e-10,2,"GR"
15,5,1,4,"true","false",512,4,1.72887923326473e-10,6,"GR"
4,4,1,2,"true","false",512,256,1.65693937026543e-09,1,"GR"
4,4,8,2,"true","true",256,64,3.92337478963816e-09,1,"GR"
18,6,2,4,"true","false",512,16,1.99195773338231e-10,1,"GR"
12,3,1,4,"true","true",128,2,1.72925900783062e-10,9,"GR"
24,6,2,2,"true","true",256,4,1.44025481276919e-10,2,"GR"
2,1,2,4,"true","false",1024,32,2.52655558430553e-10,1,"GR"
16,4,2,2,"true","false",128,2,1.58512102619833e-10,1,"GR"
20,5,2,4,"true","true",256,2,1.50684918849133e-10,1,"GR"
12,6,1,2,"true","false",512,4,1.36576491973056e-10,1,"GR"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,5,"GR"
24,6,2,4,"true","true",256,16,2.0278178196219e-10,1,"GR"
10,5,1,4,"true","false",512,4,1.4121794253326e-10,1,"GR"
20,5,2,2,"true","false",64,1,1.4731005264292e-10,6,"GR"
12,4,8,2,"true","true",64,32,2.57581308156063e-09,1,"GR"
12,3,1,4,"true","true",32,8,7.2061273330905e-10,1,"GR"
8,4,2,2,"true","true",64,4,2.30921595449151e-10,1,"GR"
4,2,2,2,"true","true",1024,8,1.74376790866456e-10,3,"GR"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,6,"GR"
4,2,8,2,"true","false",128,64,4.65140776858768e-09,1,"GR"
9,3,4,2,"true","false",512,4,2.22722648110679e-10,3,"GR"
6,6,1,4,"true","true",512,8,1.18144018844621e-10,3,"GR"
12,6,2,4,"true","false",512,256,1.63020204303616e-09,1,"GR"
4,1,4,2,"true","true",128,1,3.00554927648439e-10,5,"GR"
20,5,8,4,"true","true",128,8,3.15966145290373e-10,1,"GR"
9,3,1,4,"true","true",128,64,1.61444153367402e-09,1,"GR"
8,4,2,2,"true","false",512,128,8.03157957999521e-10,1,"GR"
2,1,2,2,"true","false",256,2,2.67289741297437e-10,6,"GR"
6,2,4,2,"true","true",1024,64,4.26212582028394e-10,1,"GR"
24,6,1,4,"true","false",128,16,3.30660739636755e-10,1,"GR"
4,4,16,2,"true","true",128,8,1.90181656891835e-09,2,"GR"
3,1,8,4,"true","true",512,32,7.85275631055814e-10,4,"GR"
6,3,1,4,"true","false",1024,2,1.65179252621352e-10,1,"GR"
9,3,1,4,"true","true",1024,32,2.29266293146065e-10,1,"GR"
16,4,4,4,"true","false",128,32,6.65114179113798e-10,1,"GR"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,4,"GR"
10,5,2,4,"true","true",512,4,1.40742193789431e-10,6,"GR"
4,4,4,4,"true","false",128,32,2.51440639007117e-09,1,"GR"
1,1,1,4,"true","false",128,4,2.27728077508529e-10,3,"GR"
9,3,4,4,"true","true",1024,32,2.62927233328019e-10,1,"GR"
2,2,1,2,"true","true",128,4,1.57042856566909e-10,2,"GR"
8,2,4,2,"true","true",128,1,2.05401123591293e-10,5,"GR"
8,4,2,2,"true","true",128,4,1.4493093093373e-10,5,"GR"
24,6,2,2,"true","true",512,128,7.14655166767008e-10,1,"GR"
4,2,16,4,"true","true",128,64,7.62352036305573e-09,1,"GR"
12,6,2,2,"true","false",256,2,1.37455954892558e-10,2,"GR"
6,6,2,2,"true","false",256,128,2.99777173845391e-09,1,"GR"
2,2,1,2,"true","false",128,2,1.5624413559592e-10,3,"GR"
18,6,4,4,"true","true",1024,32,2.33758206192778e-10,1,"GR"
18,6,4,2,"true","false",256,2,1.82822524658223e-10,1,"GR"
5,5,2,4,"true","true",256,128,3.02910713042941e-09,1,"GR"
12,4,8,2,"true","false",256,16,4.43868012264933e-10,2,"GR"
20,5,8,2,"true","true",128,8,3.13010043250635e-10,3,"GR"
8,2,8,4,"true","true",128,32,1.25245170827225e-09,2,"GR"
6,3,4,4,"true","false",1024,512,3.44210428590353e-09,1,"GR"
