"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
4,2,1,2,"true","false",128,4,1.82042982321722e-10,53,"GR"
24,6,4,4,"true","false",256,128,1.34690722093687e-09,7,"GR"
3,3,1,4,"true","true",256,4,1.35697524537269e-10,22,"GR"
20,5,4,2,"true","true",512,16,1.67343092129723e-10,22,"GR"
4,2,4,4,"true","false",512,64,8.77974442508653e-10,10,"GR"
3,3,1,4,"true","true",256,4,1.35697524537269e-10,42,"GR"
20,5,4,2,"true","false",64,4,2.04570906361831e-10,16,"GR"
18,6,1,2,"true","false",256,8,1.65248551277817e-10,28,"GR"
18,6,16,2,"true","false",256,32,1.24997990782937e-09,7,"GR"
2,1,16,4,"true","true",512,64,2.89735629240528e-09,11,"GR"
8,2,1,2,"true","true",512,256,1.66250725473031e-09,7,"GR"
6,2,4,2,"true","false",256,64,1.12435622126841e-09,11,"GR"
15,5,2,4,"true","false",128,16,4.69786494188518e-10,9,"GR"
4,2,8,2,"true","false",1024,64,8.12216351206144e-10,9,"GR"
9,3,1,2,"true","false",1024,32,2.34639012025128e-10,7,"GR"
4,2,2,2,"true","true",1024,8,1.74376790866456e-10,57,"GR"
4,2,2,2,"true","true",1024,8,1.74376790866456e-10,53,"GR"
4,2,1,2,"true","false",1024,16,1.76832409556732e-10,34,"GR"
8,2,16,2,"true","true",256,32,1.1462179451845e-09,9,"GR"
3,3,4,2,"true","true",128,16,1.43769209629606e-09,9,"GR"
12,4,1,2,"true","false",32,8,7.81812515832013e-10,8,"GR"
12,3,1,2,"true","false",128,1,1.73484103769043e-10,16,"GR"
2,1,2,4,"true","false",1024,4,2.53624957130621e-10,36,"GR"
5,5,4,2,"true","true",1024,512,6.55431608571659e-09,6,"GR"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,39,"GR"
4,1,2,2,"true","true",64,16,1.20947800905452e-09,11,"GR"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,22,"GR"
12,3,8,4,"true","false",512,64,6.14245182902729e-10,8,"GR"
9,3,8,2,"true","true",512,128,1.54167260370362e-09,9,"GR"
9,3,1,4,"true","false",64,2,2.01249270575334e-10,23,"GR"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,37,"GR"
9,3,4,2,"true","false",512,16,2.25556964664142e-10,22,"GR"
