"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
5,5,1,2,"true","false",512,4,1.17865496298058e-10,23,"GRM"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,26,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,30,"GRM"
24,6,4,2,"true","true",256,4,1.43377486488586e-10,24,"GRM"
5,5,1,2,"true","false",256,4,1.17561537135523e-10,31,"GRM"
3,3,1,4,"true","true",256,1,1.36263397941189e-10,32,"GRM"
6,3,1,4,"true","false",512,4,1.58385161446309e-10,25,"GRM"
12,6,2,4,"true","false",128,4,1.39155017527073e-10,24,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,21,"GRM"
10,5,2,4,"true","true",512,4,1.40742193789431e-10,30,"GRM"
12,6,2,4,"true","true",64,2,1.37227036791841e-10,7,"GRM"
12,6,2,4,"true","true",64,2,1.37227036791841e-10,34,"GRM"
18,6,1,2,"true","false",256,8,1.65248551277817e-10,29,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,24,"GRM"
12,6,2,2,"true","false",1024,16,1.50623293839072e-10,7,"GRM"
10,5,1,4,"true","false",512,4,1.4121794253326e-10,20,"GRM"
2,2,1,2,"true","true",256,4,1.55549103506316e-10,44,"GRM"
5,5,1,4,"true","false",512,8,1.22080038327934e-10,9,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,22,"GRM"
24,6,4,2,"true","true",256,4,1.43377486488586e-10,24,"GRM"
6,3,2,4,"true","false",1024,16,1.52554038682594e-10,8,"GRM"
12,6,2,4,"true","true",512,4,1.34066482063271e-10,16,"GRM"
8,4,2,2,"true","false",512,16,1.45618441172334e-10,16,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,36,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,45,"GRM"
24,6,1,4,"true","false",256,8,1.44483256505832e-10,7,"GRM"
5,5,1,2,"true","false",512,2,1.19264177349936e-10,27,"GRM"
