"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
3,3,1,4,"true","true",256,1,1.36263397941189e-10,120,"GRM"
4,4,1,4,"true","true",256,2,1.24879203669815e-10,120,"GRM"
4,4,1,4,"true","true",256,2,1.24879203669815e-10,120,"GRM"
2,2,1,2,"true","false",512,8,1.56732863494209e-10,120,"GRM"
4,4,1,4,"true","true",128,2,1.2616196070333e-10,120,"GRM"
3,3,1,4,"true","true",256,1,1.36263397941189e-10,120,"GRM"
5,5,1,4,"true","false",256,1,1.21422039933002e-10,120,"GRM"
5,5,1,2,"true","false",128,4,1.18634851028728e-10,120,"GRM"
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GRM"
24,6,4,2,"true","true",256,8,1.45810391749763e-10,120,"GRM"
10,5,1,2,"true","false",256,8,1.4318446912762e-10,120,"GRM"
5,5,1,4,"true","false",512,8,1.22080038327934e-10,120,"GRM"
12,6,2,2,"true","true",256,2,1.36929473450724e-10,120,"GRM"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GRM"
8,4,1,2,"true","false",64,1,1.48485143664933e-10,120,"GRM"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GRM"
20,5,1,4,"true","true",256,4,1.49614230641709e-10,120,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GRM"
24,6,2,2,"true","true",64,1,1.42946633909124e-10,120,"GRM"
24,6,1,4,"true","false",128,2,1.41304849053931e-10,120,"GRM"
8,4,2,2,"true","true",512,1,1.57620811612067e-10,120,"GRM"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,120,"GRM"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GRM"
4,4,1,2,"true","true",256,4,1.27103827056844e-10,120,"GRM"
3,3,1,4,"true","false",256,8,1.37313097436327e-10,120,"GRM"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,120,"GRM"
12,6,2,2,"true","true",512,32,2.25054723914897e-10,120,"GRM"
24,6,4,4,"true","false",128,4,1.44253714063152e-10,120,"GRM"
3,3,1,2,"true","true",128,2,1.37756460324827e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GRM"
12,6,2,2,"true","true",512,8,1.34502841297936e-10,120,"GRM"
10,5,1,2,"true","true",256,4,1.42475538199169e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GRM"
3,3,1,4,"true","true",256,1,1.36263397941189e-10,120,"GRM"
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GRM"
4,2,2,2,"true","false",256,2,1.83141440280252e-10,120,"GRM"
3,3,1,4,"true","true",512,4,1.35806763141539e-10,120,"GRM"
10,5,1,4,"true","true",1024,2,1.60330048468792e-10,120,"GRM"
4,2,1,2,"true","false",256,2,1.79879678295205e-10,120,"GRM"
3,3,1,4,"true","false",1024,32,1.4525192473807e-10,120,"GRM"
5,5,1,2,"true","false",512,4,1.17865496298058e-10,120,"GRM"
10,5,2,2,"true","false",256,8,1.43710191251499e-10,120,"GRM"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GRM"
12,3,1,2,"true","true",128,2,1.73492204475568e-10,120,"GRM"
20,5,1,2,"true","true",512,8,1.5415025016411e-10,120,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GRM"
12,6,2,4,"true","true",256,2,1.35761365941573e-10,120,"GRM"
24,6,2,2,"true","true",128,1,1.42628496494094e-10,120,"GRM"
24,6,4,2,"true","false",128,4,1.43466465095796e-10,120,"GRM"
3,3,1,4,"true","false",512,4,1.35429549481083e-10,120,"GRM"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GRM"
8,2,4,2,"true","true",128,1,2.05401123591293e-10,120,"GRM"
2,2,1,2,"true","false",128,2,1.5624413559592e-10,120,"GRM"
6,3,2,2,"true","false",512,16,1.58400381014642e-10,120,"GRM"
4,4,1,4,"true","true",256,2,1.24879203669815e-10,120,"GRM"
5,5,1,2,"true","true",1024,32,1.25947020865076e-10,120,"GRM"
12,6,1,2,"true","false",1024,32,1.69418295083396e-10,120,"GRM"
20,5,2,2,"true","true",128,2,1.49594626185624e-10,120,"GRM"
10,5,2,4,"true","true",256,4,1.41563511285379e-10,120,"GRM"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GRM"
24,6,2,4,"true","true",128,2,1.41639115932257e-10,120,"GRM"
12,3,1,4,"true","true",128,2,1.72925900783062e-10,120,"GRM"
20,5,1,4,"true","true",256,2,1.49044654755019e-10,120,"GRM"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,120,"GRM"
2,2,1,2,"true","false",512,4,1.55269439447837e-10,120,"GRM"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GRM"
12,6,2,2,"true","false",256,8,1.39264134759537e-10,120,"GRM"
10,5,2,4,"true","true",512,4,1.40742193789431e-10,120,"GRM"
3,3,1,4,"true","false",512,2,1.35341152549115e-10,120,"GRM"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GRM"
12,6,2,2,"true","true",256,2,1.36929473450724e-10,120,"GRM"
12,6,1,2,"true","true",256,2,1.36286375373921e-10,120,"GRM"
6,6,1,4,"true","false",512,8,1.18483530341257e-10,120,"GRM"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,120,"GRM"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GRM"
3,3,1,4,"true","false",512,16,1.37621340842642e-10,120,"GRM"
12,6,2,2,"true","true",64,2,1.37438647006306e-10,120,"GRM"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GRM"
16,4,2,2,"true","true",256,4,1.58782935276874e-10,120,"GRM"
3,3,1,4,"true","false",512,2,1.35341152549115e-10,120,"GRM"
2,1,1,4,"true","false",1024,8,2.49756135215925e-10,120,"GRM"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GRM"
10,5,2,4,"true","false",128,1,1.42279592117531e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
24,6,2,4,"true","false",64,1,1.41924380072479e-10,120,"GRM"
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GRM"
24,6,4,4,"true","true",256,2,1.45179238398781e-10,120,"GRM"
4,2,2,4,"true","false",1024,16,1.74656387410887e-10,120,"GRM"
2,1,2,2,"true","true",1024,8,2.50807208898201e-10,120,"GRM"
12,6,2,4,"true","true",512,16,1.38763387608331e-10,120,"GRM"
2,2,1,2,"true","false",128,2,1.5624413559592e-10,120,"GRM"
12,3,4,2,"true","true",128,2,1.75475275169667e-10,120,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GRM"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"GRM"
4,4,1,4,"true","false",512,16,1.25718814598265e-10,120,"GRM"
2,2,1,2,"true","true",512,4,1.55607518446307e-10,120,"GRM"
12,3,1,4,"true","true",128,2,1.72925900783062e-10,120,"GRM"
20,5,1,4,"true","true",256,2,1.49044654755019e-10,120,"GRM"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GRM"
4,2,2,2,"true","true",128,2,1.84294389598871e-10,120,"GRM"
10,5,2,4,"true","false",512,8,1.42766824709234e-10,120,"GRM"
24,6,2,4,"true","false",64,1,1.41924380072479e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
12,3,1,4,"true","true",128,2,1.72925900783062e-10,120,"GRM"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,120,"GRM"
