"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
2,1,4,4,"true","true",32,4,1.27936699454532e-09
20,5,4,2,"true","true",512,256,1.43339390936983e-09
8,2,16,4,"true","true",512,2,5.70173651031847e-10
18,6,4,2,"true","true",64,16,8.35864057075623e-10
6,6,4,2,"true","false",256,8,4.03512856478635e-10
8,2,1,4,"true","true",32,4,4.63136098904246e-10
6,6,1,4,"true","true",1024,64,2.34252881569392e-10
12,6,4,4,"true","false",128,128,5.18138094526963e-09
4,2,1,2,"true","false",64,4,2.91016075030028e-10
2,1,4,2,"true","false",64,2,4.98403898240358e-10
3,3,4,2,"true","false",128,64,5.37627152397998e-09
8,2,1,4,"true","true",32,16,1.61885272176449e-09
24,6,1,2,"true","false",1024,32,1.9836128856442e-10
2,2,16,2,"true","true",512,64,4.03398062786126e-09
15,5,8,4,"true","false",32,4,7.11252712285117e-10
2,1,2,2,"true","true",32,16,2.67673152002363e-09
8,2,8,4,"true","true",64,1,3.003682608285e-10
3,1,8,4,"true","false",512,32,7.88913522475659e-10
2,2,16,2,"true","false",256,128,1.52700212151923e-08
6,6,4,4,"true","false",128,32,2.36191622679504e-09
2,2,1,4,"true","false",64,2,1.95874503361506e-10
10,5,2,2,"true","true",128,8,2.21374685838095e-10
4,2,8,2,"true","false",1024,512,5.32319594268545e-09
2,1,16,4,"true","false",512,16,1.12893939045478e-09
16,4,1,2,"true","true",1024,256,8.05719070838192e-10
2,2,1,2,"true","true",1024,1,1.77770770658027e-10
6,3,8,4,"true","false",64,64,8.34253739879217e-09
3,1,4,2,"true","true",1024,1,3.88785627190353e-10
4,4,1,2,"true","false",128,4,1.28025322109481e-10
6,2,2,2,"true","false",1024,4,3.17581761689464e-10
4,1,1,2,"true","true",256,16,3.95637952208698e-10
6,2,16,2,"true","true",64,32,5.14175521373199e-09
6,2,16,2,"true","false",256,256,1.0275318344498e-08
8,4,8,2,"true","true",1024,4,4.30857841095627e-10
6,3,8,2,"true","true",1024,128,1.31236664624821e-09
16,4,16,2,"true","true",256,8,5.16514413398383e-10
3,3,16,2,"true","false",512,64,3.94515058469635e-09
20,5,4,2,"true","false",64,1,1.47318848173895e-10
6,6,1,4,"true","false",32,1,1.94669216376512e-10
6,3,2,4,"true","false",1024,256,9.21187246415596e-10
4,4,4,2,"true","true",128,2,4.65199302373397e-10
6,6,4,4,"true","true",32,32,9.24215410429938e-09
12,6,8,4,"true","true",256,64,2.02304196651149e-09
6,6,2,4,"true","true",64,1,2.64025609717205e-10
6,2,2,4,"true","false",1024,32,3.00342570267044e-10
15,5,16,2,"true","false",512,4,6.21633785267824e-10
4,4,1,2,"true","false",512,512,3.29055371025098e-09
4,4,8,2,"true","true",256,128,8.09746721067695e-09
18,6,2,4,"true","false",512,32,2.96373682238191e-10
12,4,8,2,"true","true",1024,2,3.60576048255982e-10
24,6,2,2,"true","true",512,2,1.55417886433499e-10
2,1,2,4,"true","false",1024,64,4.16139192961669e-10
16,4,2,2,"true","false",128,4,1.59330715749263e-10
20,5,2,4,"true","true",256,1,1.57485348583037e-10
12,6,1,2,"true","false",512,2,1.37433629960714e-10
5,5,4,4,"true","true",128,1,4.36988403323692e-10
24,6,2,4,"true","true",256,32,3.44729740650669e-10
10,5,1,4,"true","false",512,4,1.4121794253326e-10
20,5,16,2,"true","false",256,1,4.88062634346696e-10
12,4,8,2,"true","true",64,64,5.45812308215117e-09
12,3,1,4,"true","true",32,16,1.38610372525326e-09
8,4,2,2,"true","true",64,8,4.04860315538647e-10
4,2,8,2,"true","true",1024,4,5.62299865974146e-10
