"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
4,2,4,4,"true","false",32,4,8.93385424376777e-10
24,6,4,4,"true","false",256,256,2.74118474596604e-09
3,3,1,4,"true","true",64,8,4.16744308850976e-10
20,5,16,2,"true","true",512,32,6.70710517577962e-10
4,2,4,4,"true","false",512,128,1.66056869723306e-09
3,3,2,2,"true","true",32,8,1.60112285805547e-09
20,5,4,2,"true","false",32,8,6.31484596507163e-10
18,6,2,2,"true","false",1024,8,2.21804591405595e-10
18,6,16,2,"true","false",256,64,2.42390687760343e-09
2,1,16,4,"true","true",512,128,5.43892594762762e-09
8,2,1,2,"true","true",512,512,3.22505674604596e-09
6,2,4,2,"true","false",256,128,2.132405179634e-09
15,5,2,4,"true","false",128,32,8.4252365163585e-10
4,2,8,2,"true","false",1024,128,1.37151210638892e-09
9,3,1,2,"true","false",1024,64,3.29484889578271e-10
4,1,16,2,"true","true",512,4,7.39533313471684e-10
4,2,8,4,"true","true",256,8,4.93499760350083e-10
4,1,1,2,"true","false",256,32,6.62010140522802e-10
8,2,16,2,"true","true",256,64,2.04159676977503e-09
3,3,4,2,"true","true",128,32,2.74337158751753e-09
12,4,1,2,"true","false",32,16,1.46535099609401e-09
12,3,2,2,"true","false",128,1,1.77796090542553e-10
1,1,8,4,"true","false",1024,2,1.57591868182191e-09
5,5,4,2,"true","true",1024,1024,1.43166554898971e-08
5,5,8,2,"true","false",256,4,6.43723625413801e-10
4,1,2,2,"true","true",64,32,2.34453706505142e-09
8,4,2,4,"true","false",1024,16,1.61799762559672e-10
12,3,8,4,"true","false",512,128,1.15548098561236e-09
9,3,8,2,"true","true",512,256,3.06732840885783e-09
9,3,2,4,"true","false",32,2,3.48195146967079e-10
4,4,2,2,"true","false",128,16,7.65519072631891e-10
9,3,16,2,"true","false",512,16,6.69107233207098e-10
4,4,2,2,"true","false",256,32,7.82360997046574e-10
12,4,1,2,"true","true",32,1,2.1152616070402e-10
6,2,1,2,"true","true",256,128,1.88110667721571e-09
4,4,2,4,"true","true",512,4,2.76032503205952e-10
10,5,1,4,"true","true",512,8,1.41934937766539e-10
20,5,2,2,"true","false",64,8,3.44499647781965e-10
12,4,2,2,"true","false",128,2,2.07651028399302e-10
1,1,16,4,"true","false",512,8,1.99806764051026e-09
4,4,4,2,"true","false",128,64,5.01602972455026e-09
8,4,4,2,"true","false",128,1,2.58759011683609e-10
10,5,4,4,"true","false",1024,8,2.68201860499411e-10
6,3,2,2,"true","true",128,2,1.62799343001983e-10
