"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
4,4,16,4,"true","true",128,32,6.30212582010824e-09
12,3,4,4,"true","false",512,128,7.62098031395136e-10
8,4,16,2,"true","false",256,8,8.05603658038491e-10
6,3,8,2,"true","false",512,4,4.07335541434405e-10
20,5,2,4,"true","false",128,2,1.50148231794493e-10
12,4,4,4,"true","false",64,4,3.00175596862555e-10
4,4,4,2,"true","true",128,4,4.67870352895588e-10
6,3,16,2,"true","true",1024,1024,1.8020183266556e-08
16,4,2,2,"true","true",1024,128,4.05994854884709e-10
12,4,1,4,"true","true",512,256,1.64516291050237e-09
12,6,16,2,"true","false",256,8,7.49577681384006e-10
4,2,4,4,"true","true",64,16,1.66479706710042e-09
2,2,16,2,"true","false",32,8,7.71289219697602e-09
3,3,2,2,"true","false",256,16,4.70510491551347e-10
6,2,8,4,"true","true",256,4,3.86557251533396e-10
24,6,2,4,"true","false",64,1,1.41924380072479e-10
8,2,16,2,"true","true",128,32,2.04565353387492e-09
1,1,1,2,"true","true",32,1,5.82578313838772e-10
16,4,8,2,"true","true",256,128,2.0770629343782e-09
10,5,8,2,"true","false",512,2,3.84991929278652e-10
5,5,16,2,"true","true",32,16,1.1344234550804e-08
12,4,8,4,"true","true",1024,16,3.60401595955291e-10
15,5,16,4,"true","false",32,2,7.89452475760474e-10
24,6,16,2,"true","false",128,64,3.3409372430052e-09
4,4,8,4,"true","false",512,256,8.81888086879479e-09
12,6,8,2,"true","false",128,2,3.51675909319942e-10
24,6,16,4,"true","true",256,2,4.63965211723798e-10
4,4,1,2,"true","true",512,32,2.27918217579255e-10
15,5,1,4,"true","false",1024,128,4.93963440295066e-10
12,4,8,4,"true","false",64,16,1.32274426161305e-09
8,2,1,4,"true","true",32,32,3.11219741654331e-09
4,1,16,4,"true","true",128,8,9.95580395347851e-10
3,3,1,4,"true","false",32,32,3.10854808071495e-09
10,5,4,2,"true","true",256,4,2.42665574710947e-10
6,2,4,2,"true","false",64,64,4.28319549157165e-09
4,2,16,2,"true","true",32,32,1.49804952865448e-08
15,5,16,4,"true","true",64,8,1.16435589382147e-09
24,6,8,2,"true","false",32,32,3.58149929721166e-09
12,6,16,2,"true","true",512,8,8.53295053715626e-10
15,5,4,4,"true","false",1024,2,2.44026897780087e-10
20,5,2,4,"true","true",512,1,1.73372676055539e-10
12,3,1,2,"true","false",1024,2,2.30759626492103e-10
2,1,16,4,"true","true",64,4,1.75486919444444e-09
9,3,4,4,"true","false",64,4,3.30744830045327e-10
3,1,1,4,"true","false",256,256,5.31891285607242e-09
12,4,4,2,"true","true",512,1,2.11137235816451e-10
20,5,2,4,"true","false",64,4,2.06280464320675e-10
20,5,4,2,"true","true",128,32,6.32453805315369e-10
8,2,4,2,"true","true",512,16,2.13512758750521e-10
5,5,1,2,"true","true",256,1,1.18611767942795e-10
6,3,4,2,"true","false",32,1,3.51591479400242e-10
1,1,8,4,"true","true",256,16,1.97390888170753e-09
12,4,1,4,"true","true",64,16,7.87206336293369e-10
6,2,1,4,"true","false",1024,2,2.41456406449102e-10
10,5,1,4,"true","false",128,16,3.80435054300125e-10
1,1,2,2,"true","false",1024,4,4.5172498501598e-10
3,3,4,2,"true","true",128,4,5.14074895997593e-10
4,1,2,2,"true","false",128,8,3.91970046237386e-10
2,1,4,2,"true","true",256,128,4.55782805933635e-09
6,3,2,4,"true","true",64,8,4.37751807552326e-10
12,4,8,2,"true","true",1024,64,5.19008517240513e-10
18,6,4,4,"true","true",32,4,4.66357890806658e-10
6,2,8,4,"true","false",512,512,6.42614992429840e-09
9,3,1,4,"true","false",128,64,1.60963939481901e-09
8,2,16,4,"true","true",64,2,4.89830217683325e-10
12,6,16,4,"true","false",128,64,6.58227049217708e-09
24,6,1,4,"true","true",512,16,1.52904331806959e-10
15,5,2,4,"true","false",64,16,8.533472020415e-10
3,1,4,4,"true","false",1024,64,5.44341929193272e-10
18,6,16,4,"true","true",128,2,5.94917587954978e-10
16,4,1,2,"true","true",128,2,1.57444621795275e-10
6,3,16,4,"true","true",512,64,1.9106571006244e-09
6,3,8,2,"true","false",64,16,2.07617444558362e-09
16,4,1,2,"true","true",512,32,2.2314720161422e-10
8,2,4,4,"true","true",64,8,4.594255470201e-10
8,2,8,4,"true","true",64,4,4.19604458308721e-10
8,2,4,2,"true","true",1024,128,4.84137507902869e-10
6,3,1,2,"true","false",1024,64,2.64629334873325e-10
2,1,8,4,"true","true",32,4,1.86970048328098e-09
2,2,2,4,"true","false",32,16,3.69218016975445e-09
8,4,4,4,"true","false",256,4,2.60908321635075e-10
9,3,4,4,"true","false",1024,1,2.86894728462846e-10
8,4,1,2,"true","true",256,128,1.52852393922981e-09
8,2,8,2,"true","true",512,64,6.87684584074386e-10
2,2,4,4,"true","true",512,16,5.9393239374354e-10
3,1,8,2,"true","false",512,512,8.59684148176643e-09
4,2,1,2,"true","true",1024,8,1.75190405441034e-10
8,2,16,4,"true","true",512,512,8.09239787268454e-09
12,3,4,2,"true","false",32,2,2.48427863370242e-10
20,5,4,2,"true","false",1024,1,1.99667465504442e-10
4,2,4,2,"true","true",32,32,6.22310923719596e-09
4,2,2,4,"true","false",1024,256,1.01534906708207e-09
12,3,8,2,"true","true",256,256,4.29402160395614e-09
24,6,4,4,"true","true",64,64,2.6338086082209e-09
2,1,2,4,"true","false",512,64,7.38298294379223e-10
1,1,4,2,"true","true",1024,8,7.73024325723980e-10
18,6,16,4,"true","false",128,2,5.87003754077398e-10
24,6,1,2,"true","false",256,64,6.7091404682628e-10
6,3,1,2,"true","false",64,8,4.36174772768682e-10
12,3,8,4,"true","true",64,32,2.10274625870906e-09
4,4,2,2,"true","true",512,64,7.99999119164344e-10
6,6,4,4,"true","false",512,1,4.33263740705303e-10
2,2,8,2,"true","false",64,1,9.5893108330394e-10
20,5,16,2,"true","true",32,2,6.09958138047989e-10
4,4,4,2,"true","false",32,4,1.33571396968907e-09
