"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
4,1,2,4,"true","false",512,32,3.91082611910338e-10
8,4,1,4,"true","false",256,64,7.68907392661146e-10
2,2,4,2,"true","false",1024,128,1.77980158885151e-09
12,4,2,4,"true","false",256,256,3.63354815764612e-09
18,6,2,4,"true","false",32,32,3.09659123914375e-09
3,3,16,4,"true","true",128,1,1.18440405441209e-09
4,2,2,2,"true","false",128,4,1.84885059375104e-10
4,1,1,4,"true","true",1024,32,3.20606900676325e-10
3,3,16,2,"true","true",64,32,1.34206566896494e-08
9,3,4,4,"true","false",1024,512,2.30952094714605e-09
8,4,1,4,"true","false",1024,512,1.85758735021542e-09
4,4,4,4,"true","true",256,4,4.72371500302907e-10
24,6,4,4,"true","true",512,32,2.14725783434745e-10
4,4,8,2,"true","false",256,1,6.7804944711688e-10
24,6,4,4,"true","false",32,16,1.15010697803177e-09
24,6,16,4,"true","false",64,64,6.74395821308563e-09
8,2,4,4,"true","false",256,4,2.07993293077494e-10
4,1,2,2,"true","false",128,1,3.05171427511878e-10
5,5,1,4,"true","false",256,128,1.54229769260841e-09
4,4,16,2,"true","false",256,4,1.52594706300935e-09
4,2,1,2,"true","false",512,128,9.76130919894895e-10
6,2,2,4,"true","false",1024,1,3.35514263517417e-10
4,1,8,2,"true","false",256,8,4.49199051563859e-10
1,1,1,2,"true","true",512,2,2.34129884092023e-10
20,5,16,2,"true","false",32,16,2.93285786347592e-09
20,5,1,2,"true","true",256,32,3.48745886838305e-10
2,2,4,4,"true","false",512,16,5.94680193076515e-10
18,6,2,4,"true","true",256,2,1.82364343550582e-10
4,4,8,2,"true","true",64,1,7.24855765804467e-10
2,2,4,2,"true","false",256,4,5.99462059580631e-10
8,2,2,4,"true","true",64,1,2.0523125959216e-10
2,2,1,2,"true","true",32,4,5.44969933696628e-10
18,6,1,2,"true","false",512,512,3.37501600448487e-09
16,4,2,2,"true","false",64,8,3.64687583477883e-10
2,1,2,4,"true","true",64,2,2.83600385890337e-10
3,3,1,4,"true","true",256,1,1.36263397941189e-10
3,1,1,2,"true","true",1024,4,3.16318997800575e-10
4,1,1,2,"true","false",64,2,3.07927848951065e-10
9,3,16,2,"true","false",32,1,6.13896664082593e-10
8,2,4,2,"true","false",64,4,2.77885886075953e-10
3,3,16,4,"true","false",32,32,2.59072257158515e-08
5,5,1,4,"true","false",256,1,1.21422039933002e-10
12,6,1,2,"true","true",1024,1024,4.26386725597757e-09
6,6,1,4,"true","true",512,128,7.89962947858656e-10
9,3,8,2,"true","true",512,32,4.9290612880954e-10
8,4,1,2,"true","true",512,2,1.49870070586283e-10
10,5,1,2,"true","true",128,8,2.18313654437701e-10
5,5,4,2,"true","false",32,8,2.36393500165523e-09
6,2,16,2,"true","true",1024,512,5.92514225486671e-09
10,5,1,2,"true","false",512,32,2.25171675207537e-10
12,4,4,4,"true","false",512,64,5.10051165975516e-10
6,6,2,4,"true","false",512,256,3.23444211821855e-09
18,6,8,4,"true","false",128,32,1.26950843669283e-09
12,3,16,2,"true","false",128,32,1.78292303416448e-09
6,3,8,2,"true","false",512,32,6.43944508854397e-10
3,1,16,4,"true","true",256,8,8.81302944111511e-10
12,4,1,4,"true","true",1024,256,9.31803792337318e-10
18,6,2,2,"true","false",256,1,1.86832294672104e-10
4,4,4,4,"true","true",1024,256,3.07129392673753e-09
12,6,8,2,"true","true",1024,16,4.03226309747797e-10
9,3,16,4,"true","false",64,1,5.93290351472424e-10
5,5,4,2,"true","true",256,1,4.26444670543026e-10
15,5,4,4,"true","false",512,256,1.90011323869206e-09
15,5,4,4,"true","true",32,2,3.04726955093278e-10
6,3,4,4,"true","false",256,64,1.41607824546611e-09
4,2,1,4,"true","false",128,64,1.85976225881502e-09
6,6,1,2,"true","false",1024,256,9.05311947801722e-10
4,4,16,2,"true","false",512,2,1.7971535599857e-09
15,5,16,2,"true","false",128,8,7.44946271240828e-10
8,4,2,2,"true","false",512,64,4.18234090943799e-10
8,2,4,2,"true","false",256,8,2.07978448053001e-10
12,4,8,4,"true","true",128,64,2.62839942532044e-09
6,2,2,2,"true","true",64,16,1.12905290841797e-09
5,5,4,4,"true","true",128,16,1.24651122251176e-09
24,6,8,2,"true","true",256,16,3.12104930782109e-10
24,6,2,4,"true","true",256,32,3.44729740650669e-10
9,3,8,4,"true","false",128,2,3.32573063676434e-10
10,5,4,2,"true","true",512,8,2.42709645842147e-10
8,2,1,4,"true","true",64,8,4.59719793213182e-10
6,2,1,2,"true","false",128,8,3.31261018305461e-10
4,2,1,2,"true","false",1024,4,1.77096131425721e-10
9,3,4,4,"true","true",128,16,5.37731885969344e-10
15,5,1,4,"true","false",256,2,1.72496717491874e-10
10,5,1,2,"true","false",1024,8,1.50330812481266e-10
6,2,8,2,"true","false",32,1,4.34715744367034e-10
1,1,1,4,"true","true",64,4,4.04865966377341e-10
5,5,2,4,"true","false",256,16,4.13372404273045e-10
6,3,1,2,"true","true",1024,256,9.21282163321351e-10
4,1,8,4,"true","false",512,128,1.76697623848384e-09
18,6,16,4,"true","true",32,16,3.75898736368053e-09
8,2,4,4,"true","true",128,32,8.4313589644629e-10
12,6,8,2,"true","true",256,1,3.53097881519896e-10
5,5,8,4,"true","true",512,64,2.05421546144047e-09
3,1,2,4,"true","false",256,32,8.98927782949817e-10
2,1,16,2,"true","true",512,64,2.89835341890562e-09
2,1,16,2,"true","true",128,2,1.16454815564713e-09
2,2,4,4,"true","false",512,16,5.94680193076515e-10
6,3,4,4,"true","false",256,256,5.64355162193975e-09
10,5,2,4,"true","true",1024,32,1.65441564949952e-10
24,6,2,4,"true","false",512,64,3.83858182895902e-10
5,5,1,4,"true","true",128,2,1.2260596387318e-10
4,1,2,4,"true","true",512,16,3.12996913559782e-10
6,3,2,2,"true","true",32,32,3.10609247775788e-09
8,4,8,4,"true","false",256,8,3.91390974451274e-10
24,6,2,4,"true","true",512,256,1.46171782405302e-09
3,1,1,2,"true","false",256,32,7.9619012752045e-10
12,4,8,4,"true","false",256,2,3.02610778972709e-10
8,4,16,4,"true","false",32,1,7.75087677820213e-10
12,6,4,2,"true","true",256,64,1.30142370071137e-09
6,6,16,4,"true","false",32,4,3.06901391639066e-09
6,2,8,4,"true","true",1024,256,1.78739318997175e-09
8,4,2,2,"true","false",1024,64,2.43571931095717e-10
24,6,1,4,"true","false",256,4,1.46798608079601e-10
20,5,1,4,"true","true",256,8,1.52852022031175e-10
15,5,2,4,"true","true",64,8,4.71719666333819e-10
2,1,1,4,"true","true",64,32,2.69887409515795e-09
15,5,8,2,"true","true",128,2,2.87009225156007e-10
6,3,16,2,"true","true",32,16,6.57010754530487e-09
2,2,2,4,"true","true",32,4,1.00664852970439e-09
8,2,2,4,"true","false",1024,2,2.69891892202407e-10
4,4,4,2,"true","false",128,4,4.73765489968954e-10
8,4,4,4,"true","true",512,16,2.60946918057906e-10
16,4,1,4,"true","true",128,64,1.30695357483843e-09
18,6,8,2,"true","false",64,32,2.51540892965634e-09
2,1,1,2,"true","false",1024,1024,5.37996699632791e-09
8,4,2,4,"true","true",512,16,1.53381705090991e-10
24,6,2,2,"true","true",64,2,1.44000381825374e-10
15,5,8,2,"true","false",64,8,6.96239830653993e-10
2,2,4,4,"true","true",1024,64,1.00587193510494e-09
2,2,8,4,"true","false",512,64,2.4581091640273e-09
5,5,8,2,"true","false",64,64,1.62669688607864e-08
12,3,4,2,"true","false",256,16,2.36134936093643e-10
4,1,2,4,"true","true",1024,1,3.39653563497991e-10
16,4,4,4,"true","true",512,256,1.43531390155981e-09
8,2,16,4,"true","false",64,8,1.15935164255362e-09
1,1,2,2,"true","false",1024,64,7.80940775683047e-10
24,6,1,2,"true","false",128,2,1.42736530572719e-10
10,5,16,2,"true","false",64,32,6.16212209514899e-09
4,1,4,2,"true","true",512,8,3.08184021362294e-10
4,4,4,4,"true","true",512,32,7.58397981223771e-10
15,5,16,4,"true","false",128,16,1.18122068179624e-09
18,6,8,4,"true","false",64,16,1.23706462261133e-09
4,1,1,2,"true","false",512,16,3.13237162979039e-10
9,3,2,2,"true","true",1024,512,2.30992955630757e-09
18,6,8,2,"true","true",1024,32,3.58632609940243e-10
15,5,4,2,"true","false",1024,4,2.30182136127946e-10
8,4,2,2,"true","true",512,1,1.57620811612067e-10
4,2,1,4,"true","false",64,64,3.78952737478585e-09
9,3,1,4,"true","true",512,2,1.99287010257955e-10
4,1,8,2,"true","false",512,64,9.63725620332601e-10
16,4,8,4,"true","true",256,2,2.38608141144802e-10
9,3,4,2,"true","false",32,4,5.50157107157429e-10
4,2,16,2,"true","false",256,1,8.27356259110463e-10
4,2,2,2,"true","false",256,1,1.87090616948423e-10
15,5,1,2,"true","false",1024,128,4.88682028060274e-10
15,5,8,4,"true","false",256,256,5.53476703901727e-09
20,5,2,2,"true","true",512,64,3.72127508892259e-10
2,2,1,4,"true","false",128,1,1.62995809042587e-10
12,4,2,4,"true","true",512,2,2.06522956848303e-10
6,6,2,2,"true","false",256,2,2.48518828243631e-10
24,6,4,4,"true","false",64,8,3.29751803002152e-10
9,3,2,4,"true","true",1024,1024,4.70820918841239e-09
6,2,4,2,"true","true",512,512,4.29277546724169e-09
4,1,1,2,"true","true",1024,512,2.35746535460193e-09
10,5,8,4,"true","false",256,128,4.04320438119933e-09
3,1,4,2,"true","true",64,8,9.02648314148507e-10
3,3,2,4,"true","true",32,16,3.14372923145948e-09
20,5,16,2,"true","true",32,32,6.03316457530522e-09
20,5,1,4,"true","true",128,128,2.6390976911985e-09
6,3,16,4,"true","true",512,32,1.09161463000063e-09
6,3,4,2,"true","false",512,32,4.37960518137269e-10
15,5,2,4,"true","true",128,128,3.50734989989341e-09
4,4,1,2,"true","true",64,8,3.8527823919429e-10
10,5,2,2,"true","true",256,4,1.46951179698687e-10
4,1,4,4,"true","true",512,32,3.91392942508509e-10
12,6,8,2,"true","false",256,1,3.82131654470217e-10
3,3,4,4,"true","false",256,16,8.21056572471585e-10
5,5,2,2,"true","false",64,32,2.79915140594482e-09
5,5,16,2,"true","false",256,2,1.59934674591223e-09
20,5,4,2,"true","false",512,32,2.11568875881937e-10
16,4,4,4,"true","false",128,2,1.57306422896745e-10
2,1,16,4,"true","true",128,8,1.74369273300509e-09
12,4,16,4,"true","true",512,128,2.5611011949223e-09
12,6,2,2,"true","true",512,64,4.12072679985372e-10
4,1,4,4,"true","false",128,8,3.9287644473412e-10
6,2,1,2,"true","true",1024,256,1.03553877368724e-09
1,1,16,2,"true","true",64,16,1.07946987774712e-08
18,6,1,4,"true","true",256,128,1.52635680019204e-09
24,6,8,4,"true","false",64,8,5.20469849338619e-10
1,1,4,2,"true","false",512,16,8.26459858033203e-10
2,2,2,4,"true","false",1024,1,3.39649042524712e-10
1,1,4,4,"true","true",128,16,2.40792273391417e-09
3,1,8,4,"true","true",512,256,4.4225746145892e-09
3,3,4,4,"true","false",512,512,1.1828832885091e-08
2,1,2,2,"true","false",128,8,4.12290037980162e-10
12,4,1,4,"true","true",256,256,3.15724748366367e-09
15,5,8,4,"true","true",512,4,2.98674514052364e-10
3,3,8,2,"true","true",128,1,7.08167230932951e-10
24,6,4,4,"true","true",128,128,2.6114426886288e-09
6,3,4,2,"true","true",64,8,7.5203066619594e-10
4,4,8,4,"true","true",1024,4,8.69871888949327e-10
3,3,2,2,"true","true",512,32,4.71153025905997e-10
6,6,8,2,"true","true",128,2,6.18552575598092e-10
2,1,16,4,"true","true",1024,1024,2.23359130121545e-08
2,1,1,4,"true","false",32,32,5.30277799566002e-09
15,5,4,4,"true","true",512,1,2.02635258452402e-10
12,6,2,4,"true","false",256,8,1.40363385438274e-10
6,2,4,4,"true","false",512,16,2.65110490621832e-10
16,4,1,4,"true","false",64,2,1.58345628579893e-10
4,4,16,4,"true","true",256,256,3.01288121857336e-08
4,2,2,2,"true","true",128,8,2.85189057820342e-10
20,5,2,2,"true","true",64,16,6.44583524652233e-10
18,6,4,2,"true","false",256,2,1.82822524658223e-10
3,3,1,4,"true","false",32,2,3.23530342963856e-10
4,4,4,2,"true","false",256,1,4.69511486927139e-10
2,2,8,4,"true","true",512,1,8.74620503522564e-10
8,2,2,4,"true","false",512,32,2.77291853822881e-10
