"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
20,5,4,4,"true","false",64,2,1.49754009455866e-10
8,4,1,2,"true","false",512,4,1.50375123585412e-10
24,6,4,2,"true","true",256,2,1.45032393482497e-10
24,6,1,2,"true","false",64,2,1.45651754345574e-10
24,6,2,4,"true","true",512,4,1.51737349701352e-10
5,5,1,4,"true","false",128,2,1.22318069740129e-10
12,6,2,2,"true","false",512,2,1.40641582293563e-10
8,4,2,2,"true","false",256,2,1.4670117120523e-10
5,5,1,2,"true","true",1024,4,1.22095092329485e-10
12,6,2,4,"true","true",512,16,1.38763387608331e-10
8,4,2,2,"true","true",512,2,1.45687214384638e-10
4,4,1,2,"true","true",128,1,1.2777883632919e-10
16,4,1,4,"true","false",256,2,1.59489867996702e-10
4,4,1,2,"true","true",512,4,1.29084319981407e-10
20,5,2,2,"true","true",128,1,1.52643163639617e-10
10,5,1,4,"true","true",512,4,1.42250429448815e-10
10,5,1,4,"true","true",64,1,1.44966327511122e-10
6,6,1,4,"true","false",512,2,1.19525529098963e-10
6,6,1,4,"true","true",64,1,1.27565271803632e-10
4,4,1,4,"true","false",128,4,1.26761029509907e-10
12,3,4,2,"true","false",256,4,1.74684970353342e-10
5,5,1,2,"true","false",256,4,1.17561537135523e-10
6,6,1,2,"true","true",256,2,1.1808319494789e-10
12,6,1,2,"true","false",256,4,1.37042936332678e-10
6,6,1,4,"true","true",1024,2,1.18398283203908e-10
5,5,1,2,"true","false",64,2,1.39553686221207e-10
5,5,1,4,"true","true",512,1,1.24744837008771e-10
10,5,2,4,"true","false",64,2,1.45333990237963e-10
16,4,2,4,"true","false",64,2,1.60983786780311e-10
4,4,1,4,"true","false",512,16,1.25718814598265e-10
5,5,1,2,"true","false",128,2,1.18427245214453e-10
20,5,2,4,"true","true",128,2,1.50480061372266e-10
6,6,1,2,"true","false",128,4,1.17732534790262e-10
5,5,1,2,"true","true",128,1,1.22082511768545e-10
24,6,2,4,"true","false",256,2,1.45441331457801e-10
10,5,1,2,"true","false",512,8,1.43725775226545e-10
5,5,1,4,"true","true",1024,2,1.24443747489354e-10
12,6,1,4,"true","true",256,4,1.38895142986645e-10
6,6,1,2,"true","false",512,2,1.20524589039226e-10
3,3,1,2,"true","true",256,4,1.3715091955647e-10
