"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,120,"LM"
4,4,1,4,"true","false",1024,1,1.33364507750663e-10,120,"LM"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"LM"
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,120,"LM"
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,120,"LM"
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,120,"LM"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,120,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,120,"LM"
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,120,"LM"
2,2,1,2,"true","false",1024,4,1.60303866149281e-10,120,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,120,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"LM"
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,120,"LM"
2,2,1,2,"true","false",1024,16,1.6667846484997e-10,120,"LM"
2,2,1,2,"true","false",1024,16,1.6667846484997e-10,120,"LM"
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,120,"LM"
2,2,1,2,"true","true",1024,1,1.77770770658027e-10,120,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"LM"
4,4,1,4,"true","true",1024,16,1.27991660200843e-10,120,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,120,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,120,"LM"
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,120,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"LM"
24,6,1,2,"true","true",1024,1024,3.73508379450786e-09,120,"LM"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,120,"LM"
6,6,1,4,"true","true",1024,32,1.28655386741334e-10,120,"LM"
1,1,1,2,"true","true",1024,8,2.44442327306725e-10,120,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"LM"
6,6,1,2,"true","false",1024,1,1.28669181117226e-10,120,"LM"
4,4,1,4,"true","true",512,4,1.25569585107033e-10,120,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"LM"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"LM"
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,120,"LM"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"LM"
24,6,1,4,"true","true",1024,8,1.7607829667075e-10,120,"LM"
3,3,1,4,"true","false",512,4,1.35429549481083e-10,120,"LM"
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,120,"LM"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,120,"LM"
