"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","best","point_number","method","slowdown"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,1,1.17642516833282e-10,89,"LM",1.01488180994275
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,2,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,3,1.16501321248061e-10,89,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,4,1.17642516833282e-10,84,"LM",1.01488180994275
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,5,1.17842155236017e-10,84,"LM",1.01417685045184
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,6,1.19264177349936e-10,89,"LM",1.07967874560269
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,7,1.17865496298058e-10,89,"LM",1.07967874560269
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,8,1.36548767259252e-10,84,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,9,1.28769317374291e-10,89,"LM",1.17207913005986
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,10,1.17642516833282e-10,89,"LM",1.01488180994275
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,11,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,12,1.17642516833282e-10,84,"LM",1.01488180994275
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,13,1.17642516833282e-10,89,"LM",1.01488180994275
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,14,1.17642516833282e-10,89,"LM",1.01488180994275
3,3,1,4,"true","false",512,4,1.35429549481083e-10,15,1.35429549481083e-10,89,"LM",1.16247221945851
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,16,1.24992786636709e-10,89,"LM",1.07967874560269
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,17,1.17642516833282e-10,89,"LM",1.01488180994275
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,18,1.17642516833282e-10,89,"LM",1.01488180994275
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,19,1.17642516833282e-10,89,"LM",1.00979555916616
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,20,1.21422039933002e-10,89,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,21,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,22,1.17642516833282e-10,84,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,23,1.17642516833282e-10,89,"LM",1.01488180994275
1,1,1,4,"true","false",1024,4,2.38714976907871e-10,24,1.65610992923629e-10,84,"LM",2.04903235732053
1,1,1,2,"true","false",512,4,2.29749117329301e-10,25,1.18746991977228e-10,89,"LM",1.97207306207374
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,26,1.36548767259252e-10,89,"LM",1.17207913005986
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,27,1.36548767259252e-10,89,"LM",1.17255179308334
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,28,1.21838108445895e-10,89,"LM",1.37886759691887
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,29,1.17642516833282e-10,89,"LM",1.01488180994275
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,30,1.32280083828985e-10,89,"LM",1.17207913005986
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,31,1.1835008391896e-10,84,"LM",1.37886759691887
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,32,1.17642516833282e-10,89,"LM",1.00979555916616
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,33,1.24992786636709e-10,89,"LM",1.07967874560269
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,34,1.20542237352126e-10,89,"LM",1.37886759691887
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,35,1.16501321248061e-10,89,"LM",1.00979555916616
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,36,1.28007775980029e-10,89,"LM",2.06410258798557
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,37,1.36548767259252e-10,89,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,38,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,39,1.17642516833282e-10,89,"LM",1.00979555916616
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,40,1.50427657592532e-10,89,"LM",2.06410258798557
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,41,1.36548767259252e-10,89,"LM",1.17207913005986
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,42,1.60303866149281e-10,89,"LM",1.37886759691887
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,43,1.36603833125993e-10,89,"LM",1.17255179308334
2,2,1,2,"true","true",1024,4,1.61042728080753e-10,44,1.33364507750663e-10,89,"LM",1.38232533636122
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,45,1.24992786636709e-10,89,"LM",1.07967874560269
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,46,1.36548767259252e-10,84,"LM",1.17255179308334
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,47,1.22360757184054e-10,84,"LM",1.06380627123028
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,48,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,49,1.17642516833282e-10,89,"LM",1.00979555916616
4,4,1,4,"true","true",512,4,1.25569585107033e-10,50,1.25569585107033e-10,84,"LM",1.07783829197664
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,51,1.17842155236017e-10,89,"LM",1.01417685045184
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,52,1.16501321248061e-10,89,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,53,1.16501321248061e-10,89,"LM",1.01488180994275
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,54,1.17642516833282e-10,89,"LM",1.01488180994275
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,55,1.24992786636709e-10,84,"LM",1.07288728829579
3,3,1,4,"true","false",512,4,1.35429549481083e-10,56,1.35341152549115e-10,89,"LM",1.16247221945851
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,57,1.36548767259252e-10,84,"LM",1.17207913005986
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,58,1.24220644460169e-10,89,"LM",1.37886759691887
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,59,1.17379768662026e-10,89,"LM",1.07967874560269
2,2,1,2,"true","false",512,4,1.55269439447837e-10,60,1.30214124849928e-10,89,"LM",1.3327697727756
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,61,1.36548767259252e-10,89,"LM",1.17207913005986
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,62,1.17642516833282e-10,89,"LM",1.01488180994275
6,6,1,2,"true","true",512,4,1.1835008391896e-10,63,1.1835008391896e-10,89,"LM",1.01586902750195
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,64,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","true",512,4,1.1835008391896e-10,65,1.1835008391896e-10,89,"LM",1.01586902750195
12,6,1,4,"true","false",32,1,1.73149675793897e-10,66,1.39528091700916e-10,84,"LM",1.48624645573947
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,67,1.22095092329485e-10,89,"LM",1.06380627123028
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,68,1.47694347886898e-10,89,"LM",2.06410258798557
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,69,1.17642516833282e-10,89,"LM",1.01488180994275
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,70,1.17642516833282e-10,89,"LM",1.00979555916616
3,3,1,4,"true","false",512,4,1.35429549481083e-10,71,1.25629960742448e-10,84,"LM",1.16247221945851
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,72,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,73,1.17642516833282e-10,89,"LM",1.00979555916616
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,74,1.23041421447138e-10,89,"LM",1.07967874560269
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,75,1.24992786636709e-10,89,"LM",1.07288728829579
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,76,1.17642516833282e-10,89,"LM",1.01488180994275
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,77,1.20542237352126e-10,89,"LM",1.17207913005986
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,78,1.19422931122937e-10,89,"LM",2.06410258798557
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,79,1.52646305940824e-10,89,"LM",1.37886759691887
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,80,1.22360757184054e-10,89,"LM",1.06380627123028
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,81,1.29741612786399e-10,89,"LM",2.06410258798557
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,82,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,83,1.16501321248061e-10,89,"LM",1.01488180994275
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,84,1.5917115273967e-10,89,"LM",1.37886759691887
6,6,1,2,"true","true",512,4,1.1835008391896e-10,85,1.1835008391896e-10,89,"LM",1.01586902750195
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,86,1.25460339973732e-10,89,"LM",2.06410258798557
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,87,1.20261541207892e-10,89,"LM",1.37886759691887
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,88,1.17642516833282e-10,89,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,89,1.16501321248061e-10,89,"LM",1.01488180994275
6,6,1,4,"true","false",512,4,1.1888726151874e-10,90,1.18283916839785e-10,89,"LM",1.02047994173043
6,6,1,2,"true","false",256,4,1.17149348789584e-10,91,1.17149348789584e-10,89,"LM",1.00556240508331
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,92,1.17642516833282e-10,89,"LM",1.00979555916616
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,93,1.21265648195401e-10,89,"LM",1.07967874560269
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,94,1.16501321248061e-10,89,"LM",1.07967874560269
6,6,1,2,"true","false",256,4,1.17149348789584e-10,95,1.17149348789584e-10,89,"LM",1.00556240508331
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,96,1.16501321248061e-10,84,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,97,1.16501321248061e-10,89,"LM",1.00979555916616
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,98,1.19525529098963e-10,89,"LM",1.17207913005986
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,99,1.48880467798071e-10,89,"LM",1.37886759691887
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,100,1.35697524537269e-10,89,"LM",2.06410258798557
