"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","best","point_number","method","slowdown"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,1,1.17642516833282e-10,119,"LM",1.01488180994275
4,4,1,4,"true","false",1024,1,1.33364507750663e-10,2,1.33364507750663e-10,119,"LM",1.14474674039701
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,3,1.24992786636709e-10,119,"LM",1.07288728829579
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,4,1.17642516833282e-10,119,"LM",1.00979555916616
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,5,1.35761365941573e-10,119,"LM",1.17255179308334
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,6,1.17842155236017e-10,119,"LM",1.01417685045184
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,7,1.32628734769169e-10,119,"LM",1.37886759691887
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,8,1.17642516833282e-10,119,"LM",1.01488180994275
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,9,1.20138723404379e-10,119,"LM",1.17207913005986
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,10,1.16501321248061e-10,119,"LM",1.01417685045184
2,2,1,2,"true","false",1024,4,1.60303866149281e-10,11,1.45097021726241e-10,119,"LM",1.37598324578613
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,12,1.36548767259252e-10,119,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,13,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,14,1.17842155236017e-10,119,"LM",1.01417685045184
2,2,1,2,"true","false",1024,16,1.6667846484997e-10,15,1.16501321248061e-10,119,"LM",1.43070021064455
2,2,1,2,"true","false",1024,16,1.6667846484997e-10,16,1.45097021726241e-10,119,"LM",1.43070021064455
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,17,1.25569585107033e-10,119,"LM",1.19765244038585
2,2,1,2,"true","true",1024,1,1.77770770658027e-10,18,1.20138723404379e-10,119,"LM",1.52591205622043
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,19,1.17642516833282e-10,119,"LM",1.00979555916616
4,4,1,4,"true","true",1024,16,1.27991660200843e-10,20,1.21905973842592e-10,119,"LM",1.09862840034506
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,21,1.31614617171839e-10,119,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,22,1.20140567969366e-10,119,"LM",1.17207913005986
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,23,1.17842155236017e-10,119,"LM",1.01417685045184
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,24,1.17642516833282e-10,119,"LM",1.00979555916616
24,6,1,2,"true","true",1024,1024,3.73508379450786e-09,25,1.19264177349936e-10,119,"LM",32.0604414996711
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,26,1.25778542785017e-10,119,"LM",1.07963189977221
6,6,1,4,"true","true",1024,32,1.28655386741334e-10,27,1.22633247365792e-10,119,"LM",1.10432555925605
1,1,1,2,"true","true",1024,8,2.44442327306725e-10,28,1.48857960649586e-10,119,"LM",2.09819360577245
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,29,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,2,"true","false",1024,1,1.28669181117226e-10,30,1.20524986739671e-10,119,"LM",1.10444396457321
4,4,1,4,"true","true",512,4,1.25569585107033e-10,31,1.20542237352126e-10,119,"LM",1.07783829197664
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,32,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,33,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,34,1.17842155236017e-10,119,"LM",1.0761594320093
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,35,1.24992786636709e-10,119,"LM",1.07288728829579
24,6,1,4,"true","true",1024,8,1.7607829667075e-10,36,1.16501321248061e-10,119,"LM",1.51138454726907
3,3,1,4,"true","false",512,4,1.35429549481083e-10,37,1.20370127713727e-10,119,"LM",1.16247221945851
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,38,1.17842155236017e-10,119,"LM",1.01417685045184
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,39,1.27181525294686e-10,119,"LM",1.17207913005986
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,40,1.18483530341257e-10,119,"LM",1.17255179308334
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,41,1.17642516833282e-10,119,"LM",1.00979555916616
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,42,1.1931257630123e-10,119,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,43,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,44,1.17842155236017e-10,119,"LM",1.01417685045184
3,3,1,4,"true","false",1024,1,1.48857960649586e-10,45,1.38271566642236e-10,119,"LM",1.27773624414636
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,46,1.25778542785017e-10,119,"LM",1.07963189977221
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,47,1.1808319494789e-10,119,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,48,1.17642516833282e-10,119,"LM",1.00979555916616
