"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","best","point_number","method","slowdown"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,1,1.17642516833282e-10,119,"LM",1.01488180994275
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,2,1.24992786636709e-10,119,"LM",1.07288728829579
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,3,1.36548767259252e-10,119,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,4,1.17642516833282e-10,119,"LM",1.00979555916616
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,5,1.35761365941573e-10,115,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,6,1.20138723404379e-10,119,"LM",1.17207913005986
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,7,1.18718825467539e-10,119,"LM",1.06380627123028
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,8,1.22095092329485e-10,119,"LM",1.06380627123028
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,9,1.17642516833282e-10,119,"LM",1.01488180994275
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,10,1.24992786636709e-10,119,"LM",1.07967874560269
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,11,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,12,1.17642516833282e-10,119,"LM",1.00979555916616
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,13,1.2941581237827e-10,119,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,14,1.36120252443834e-10,119,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,15,1.17642516833282e-10,119,"LM",1.00979555916616
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,16,1.22360757184054e-10,119,"LM",1.06380627123028
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,17,1.34360417998178e-10,119,"LM",1.17207913005986
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,18,1.17642516833282e-10,119,"LM",1.01488180994275
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,19,1.17642516833282e-10,119,"LM",1.01488180994275
