"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","step"
12,6,1,4,"true","true",1024,64,2.6041223747282e-10,1,1
24,6,1,2,"true","true",1024,1,1.9105824995861e-10,1,1
18,6,1,4,"true","true",1024,2,2.02967591494609e-10,1,1
18,6,1,2,"true","false",1024,256,9.85788526764859e-10,1,1
6,6,1,4,"true","true",1024,64,2.34252881569392e-10,1,1
18,6,1,4,"true","true",1024,8,2.00335082779587e-10,1,2
12,6,1,2,"true","true",1024,8,1.49194607615408e-10,1,2
12,6,1,4,"true","true",1024,8,1.46321716607771e-10,1,2
24,6,1,2,"true","true",1024,8,1.77595009577156e-10,1,2
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,1,2
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,1,3
6,6,1,4,"true","false",1024,8,1.20545060937111e-10,1,3
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,1,3
6,6,1,4,"true","true",1024,8,1.20170053330998e-10,1,3
4,4,1,4,"true","false",1024,256,8.77423850227704e-10,2,1
4,4,1,2,"true","true",1024,1,1.4196145495969e-10,2,1
16,4,1,4,"true","false",1024,4,2.00285760877781e-10,2,1
8,4,1,4,"true","true",1024,256,9.19387256170886e-10,2,1
16,4,1,4,"true","false",1024,1,2.14034664338555e-10,2,1
8,4,1,2,"true","true",1024,1,1.93184236692277e-10,2,2
12,4,1,2,"true","true",1024,1,2.36708834559132e-10,2,2
12,4,1,4,"true","true",1024,1,2.38598620551504e-10,2,2
4,4,1,4,"true","false",1024,1,1.33364507750663e-10,2,2
4,4,1,4,"true","true",1024,1,1.38044091047538e-10,2,2
4,4,1,4,"true","true",1024,1,1.38044091047538e-10,2,3
4,4,1,2,"true","true",1024,1,1.4196145495969e-10,2,3
4,4,1,2,"true","false",1024,1,1.39907551626982e-10,2,3
4,4,1,4,"true","false",1024,1,1.33364507750663e-10,2,3
4,4,1,4,"true","false",1024,512,1.77872182159199e-09,3,1
16,4,1,2,"true","false",1024,128,4.05734860355415e-10,3,1
4,4,1,2,"true","true",1024,4,1.31720001363936e-10,3,1
12,4,1,4,"true","true",1024,2,2.30155476700536e-10,3,1
16,4,1,2,"true","false",1024,32,2.06418455510705e-10,3,1
16,4,1,2,"true","true",1024,8,1.98340260177846e-10,3,2
4,4,1,2,"true","false",1024,8,1.29741612786399e-10,3,2
16,4,1,4,"true","false",1024,8,1.95439529795982e-10,3,2
16,4,1,2,"true","false",1024,8,1.96858415146615e-10,3,2
12,4,1,2,"true","false",1024,8,2.2260692120697e-10,3,2
4,4,1,2,"true","false",1024,8,1.29741612786399e-10,3,3
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,3,3
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,3,3
4,4,1,2,"true","true",1024,8,1.31407778250902e-10,3,3
24,6,1,4,"true","true",1024,8,1.7607829667075e-10,4,1
24,6,1,4,"true","true",1024,64,2.56782613592105e-10,4,1
12,6,1,2,"true","true",1024,16,1.51141474139474e-10,4,1
