"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","step"
12,6,1,2,"true","false",1024,1,1.72027984763759e-10,1,1
18,6,1,2,"true","false",1024,2,2.02762558589677e-10,1,1
6,6,1,4,"true","true",1024,2,1.18398283203908e-10,1,1
18,6,1,2,"true","false",1024,64,3.03842331556721e-10,1,1
12,6,1,2,"true","false",1024,32,1.69418295083396e-10,1,1
18,6,1,2,"true","true",1024,1,2.05172384225424e-10,1,1
24,6,1,4,"true","false",1024,256,8.67974314181006e-10,1,1
18,6,1,4,"true","false",1024,128,4.89538583425146e-10,1,1
12,6,1,2,"true","false",1024,16,1.51342430706259e-10,1,1
18,6,1,2,"true","true",1024,1024,4.25564361559655e-09,1,1
18,6,1,4,"true","false",1024,8,1.97656212879105e-10,1,1
6,6,1,4,"true","true",1024,8,1.20170053330998e-10,1,1
24,6,1,2,"true","false",1024,128,4.11134945783675e-10,1,1
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,1,1
12,6,1,4,"true","false",1024,1024,4.27564709386384e-09,1,1
18,6,1,2,"true","true",1024,128,4.89391199903665e-10,1,1
6,6,1,4,"true","false",1024,1024,3.75090570180612e-09,1,1
12,6,1,2,"true","true",1024,256,9.73202490562263e-10,1,1
18,6,1,4,"true","false",1024,16,1.99843137498764e-10,1,1
12,6,1,4,"true","true",1024,4,1.44872092405152e-10,1,1
18,6,1,2,"true","false",1024,32,2.01888487367158e-10,1,1
6,6,1,4,"true","true",1024,1,1.29667282018423e-10,1,1
24,6,1,4,"true","false",1024,32,1.96796603880065e-10,1,1
12,6,1,4,"true","false",1024,16,1.47185555740561e-10,1,1
6,6,1,2,"true","true",1024,512,1.7854476867972e-09,1,1
18,6,1,2,"true","false",1024,1024,4.25618148719193e-09,1,1
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,1,1
24,6,1,2,"true","false",1024,64,2.57586996265345e-10,1,1
12,6,1,4,"true","true",1024,16,1.49068391521557e-10,1,1
24,6,1,4,"true","false",1024,16,1.78371579121577e-10,1,1
24,6,1,2,"true","false",1024,8,1.78857911487235e-10,1,2
12,6,1,2,"true","true",1024,8,1.49194607615408e-10,1,2
24,6,1,2,"true","true",1024,8,1.77595009577156e-10,1,2
12,6,1,4,"true","true",1024,8,1.46321716607771e-10,1,2
6,6,1,4,"true","false",1024,8,1.20545060937111e-10,1,2
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,1,3
6,6,1,4,"true","false",1024,8,1.20545060937111e-10,1,3
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,1,3
6,6,1,4,"true","true",1024,8,1.20170053330998e-10,1,3
12,6,1,4,"true","true",1024,32,1.64565242025264e-10,2,1
12,6,1,4,"true","false",1024,1,1.65468945727278e-10,2,1
12,6,1,2,"true","false",1024,4,1.47764281062067e-10,2,1
18,6,1,2,"true","true",1024,128,4.89391199903665e-10,2,1
24,6,1,2,"true","true",1024,32,1.96296495556333e-10,2,1
24,6,1,4,"true","false",1024,4,1.82626392669449e-10,2,1
6,6,1,4,"true","true",1024,2,1.18398283203908e-10,2,1
24,6,1,4,"true","true",1024,512,1.73730731199811e-09,2,1
6,6,1,4,"true","true",1024,16,1.22014273387987e-10,2,1
18,6,1,2,"true","true",1024,1,2.05172384225424e-10,2,1
24,6,1,4,"true","false",1024,64,2.55515132795485e-10,2,1
6,6,1,4,"true","false",1024,64,2.33681280815557e-10,2,1
12,6,1,2,"true","false",1024,256,9.73304036934528e-10,2,1
24,6,1,4,"true","false",1024,256,8.67974314181006e-10,2,1
12,6,1,2,"true","true",1024,128,4.54825859020426e-10,2,1
24,6,1,2,"true","false",1024,1,1.9110560617478e-10,2,1
6,6,1,2,"true","false",1024,1024,3.75914431023625e-09,2,1
12,6,1,2,"true","false",1024,1,1.72027984763759e-10,2,1
6,6,1,2,"true","false",1024,128,4.33511607264778e-10,2,1
6,6,1,2,"true","false",1024,2,1.20524986739671e-10,2,1
18,6,1,4,"true","false",1024,4,1.96012266685612e-10,2,1
24,6,1,2,"true","false",1024,4,1.84358051485813e-10,2,1
12,6,1,4,"true","true",1024,4,1.44872092405152e-10,2,1
18,6,1,4,"true","true",1024,512,1.94626449043265e-09,2,1
24,6,1,2,"true","true",1024,512,1.72911064791155e-09,2,1
6,6,1,2,"true","false",1024,32,1.30214124849928e-10,2,1
12,6,1,4,"true","false",1024,2,1.56195595755883e-10,2,1
12,6,1,2,"true","true",1024,512,1.93902912955359e-09,2,1
12,6,1,2,"true","true",1024,2,1.57978088075263e-10,2,1
12,6,1,2,"true","false",1024,8,1.4752920068034e-10,2,1
24,6,1,2,"true","true",1024,8,1.77595009577156e-10,2,2
6,6,1,4,"true","false",1024,8,1.20545060937111e-10,2,2
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,2,2
12,6,1,4,"true","false",1024,8,1.47696848296835e-10,2,2
12,6,1,4,"true","true",1024,8,1.46321716607771e-10,2,2
6,6,1,4,"true","true",1024,8,1.20170053330998e-10,2,3
6,6,1,4,"true","false",1024,8,1.20545060937111e-10,2,3
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,2,3
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,2,3
12,6,1,2,"true","true",1024,128,4.54825859020426e-10,3,1
12,6,1,4,"true","false",1024,8,1.47696848296835e-10,3,1
18,6,1,2,"true","false",1024,512,1.94636307397828e-09,3,1
24,6,1,2,"true","true",1024,1,1.9105824995861e-10,3,1
12,6,1,4,"true","false",1024,256,9.65418981809165e-10,3,1
24,6,1,2,"true","false",1024,512,1.72658719914981e-09,3,1
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,3,1
18,6,1,2,"true","false",1024,1,2.06513104887015e-10,3,1
12,6,1,4,"true","true",1024,16,1.49068391521557e-10,3,1
6,6,1,4,"true","false",1024,4,1.18096841715479e-10,3,1
6,6,1,4,"true","true",1024,256,8.92110112760423e-10,3,1
18,6,1,2,"true","true",1024,2,2.05742162059416e-10,3,1
6,6,1,2,"true","true",1024,64,2.35747097259899e-10,3,1
24,6,1,4,"true","true",1024,32,1.94330301642902e-10,3,1
24,6,1,2,"true","false",1024,32,1.9836128856442e-10,3,1
18,6,1,4,"true","true",1024,8,2.00335082779587e-10,3,1
24,6,1,4,"true","false",1024,32,1.96796603880065e-10,3,1
18,6,1,4,"true","false",1024,4,1.96012266685612e-10,3,1
18,6,1,2,"true","true",1024,1024,4.25564361559655e-09,3,1
18,6,1,2,"true","true",1024,16,1.9947466571432e-10,3,1
