"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,119,"RQ"
6,6,1,4,"true","true",1024,32,1.28655386741334e-10,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"RQ"
4,4,1,4,"true","true",1024,16,1.27991660200843e-10,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,119,"RQ"
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,119,"RQ"
24,6,1,4,"true","false",1024,8,1.75769318569462e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,119,"RQ"
4,4,1,4,"true","true",1024,16,1.27991660200843e-10,119,"RQ"
6,6,1,4,"true","false",1024,64,2.33681280815557e-10,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,119,"RQ"
5,5,1,2,"true","true",1024,4,1.22095092329485e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
24,6,1,4,"true","false",1024,8,1.75769318569462e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
12,3,1,4,"true","true",1024,16,2.12491586814447e-10,119,"RQ"
4,4,1,4,"true","false",1024,32,1.32905198650076e-10,119,"RQ"
18,6,1,4,"true","false",32,1,1.90635999809877e-10,119,"RQ"
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,119,"RQ"
20,5,1,2,"true","true",1024,1024,3.5987698670923e-09,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
4,4,1,4,"true","false",1024,1,1.33364507750663e-10,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,16,1.19644084929894e-10,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"RQ"
20,5,1,4,"true","false",1024,4,1.88081893789131e-10,119,"RQ"
5,5,1,2,"true","true",1024,4,1.22095092329485e-10,119,"RQ"
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,119,"RQ"
3,3,1,2,"true","false",1024,1,1.47877079673303e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
24,6,1,4,"true","true",1024,16,1.77814945310949e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,119,"RQ"
24,6,1,4,"true","false",1024,8,1.75769318569462e-10,119,"RQ"
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,119,"RQ"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,119,"RQ"
6,6,1,2,"true","false",1024,16,1.19644084929894e-10,119,"RQ"
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,119,"RQ"
18,6,1,2,"true","true",1024,4,1.95424187091909e-10,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,119,"RQ"
4,4,1,4,"true","true",1024,16,1.27991660200843e-10,119,"RQ"
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,119,"RQ"
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,16,1.19644084929894e-10,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,119,"RQ"
6,6,1,2,"true","false",1024,16,1.19644084929894e-10,119,"RQ"
3,3,1,2,"true","false",1024,1,1.47877079673303e-10,119,"RQ"
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,119,"RQ"
2,2,1,2,"true","false",512,8,1.56732863494209e-10,119,"RQ"
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,119,"RQ"
