"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
6,3,1,2,"true","false",1024,16,1.56188385220027e-10,120,"RS"
6,6,1,4,"true","true",256,4,1.19017999801124e-10,120,"RS"
5,5,1,4,"true","false",1024,1,1.29873128128308e-10,120,"RS"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"RS"
6,6,1,4,"true","false",256,1,1.19886821794317e-10,120,"RS"
6,6,1,4,"true","false",1024,4,1.18096841715479e-10,120,"RS"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"RS"
4,4,1,2,"true","false",128,4,1.28025322109481e-10,120,"RS"
3,3,1,2,"true","true",512,2,1.37521968328191e-10,120,"RS"
5,5,1,4,"true","true",512,4,1.23323792879451e-10,120,"RS"
12,6,1,2,"true","false",128,1,1.39120748568647e-10,120,"RS"
3,3,1,4,"true","true",1024,2,1.39399631012218e-10,120,"RS"
5,5,1,2,"true","true",512,4,1.180929223999e-10,120,"RS"
4,4,1,4,"true","false",512,16,1.25718814598265e-10,120,"RS"
6,6,1,2,"true","false",128,1,1.19599215511143e-10,120,"RS"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"RS"
12,6,1,2,"true","false",128,1,1.39120748568647e-10,120,"RS"
4,4,1,2,"true","false",256,1,1.28928275881999e-10,120,"RS"
6,6,1,4,"true","false",512,1,1.25632486846433e-10,120,"RS"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,120,"RS"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"RS"
12,6,1,2,"true","false",128,2,1.37325279558869e-10,120,"RS"
5,5,1,4,"true","true",1024,2,1.24443747489354e-10,120,"RS"
5,5,1,4,"true","true",256,4,1.26472206076233e-10,120,"RS"
6,6,1,4,"true","false",256,2,1.21311258897687e-10,120,"RS"
12,6,2,2,"true","false",256,1,1.39042634655403e-10,120,"RS"
10,5,2,4,"true","false",128,1,1.42279592117531e-10,120,"RS"
5,5,1,4,"true","true",256,1,1.21838108445895e-10,120,"RS"
10,5,2,4,"true","false",128,2,1.46639016401682e-10,120,"RS"
12,6,1,2,"true","true",256,1,1.39167615329011e-10,120,"RS"
6,6,1,2,"true","true",512,1,1.19115341444505e-10,120,"RS"
3,3,1,2,"true","true",512,16,1.37369946739904e-10,120,"RS"
4,4,1,4,"true","false",256,8,1.32007686833327e-10,120,"RS"
3,3,1,4,"true","true",128,2,1.36538375119979e-10,120,"RS"
4,4,1,2,"true","true",512,8,1.30182841859248e-10,120,"RS"
6,6,1,2,"true","true",256,2,1.1808319494789e-10,120,"RS"
5,5,1,2,"true","false",128,4,1.18634851028728e-10,120,"RS"
10,5,2,4,"true","true",128,1,1.43309851528011e-10,120,"RS"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"RS"
5,5,1,2,"true","true",512,1,1.22127353136702e-10,120,"RS"
5,5,1,2,"true","false",512,4,1.17865496298058e-10,120,"RS"
6,6,1,4,"true","false",256,4,1.18527144018137e-10,120,"RS"
4,4,1,2,"true","false",128,2,1.27175815907958e-10,120,"RS"
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,120,"RS"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,120,"RS"
5,5,1,4,"true","false",128,2,1.22318069740129e-10,120,"RS"
3,3,1,4,"true","false",256,8,1.37313097436327e-10,120,"RS"
6,6,1,2,"true","false",512,16,1.20895909716785e-10,120,"RS"
3,3,1,2,"true","true",128,2,1.37756460324827e-10,120,"RS"
6,6,1,2,"true","true",128,2,1.18080485105728e-10,120,"RS"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,120,"RS"
6,6,1,4,"true","false",128,1,1.21238783742256e-10,120,"RS"
6,6,1,4,"true","true",256,1,1.20016645514951e-10,120,"RS"
6,6,1,4,"true","true",1024,32,1.28655386741334e-10,120,"RS"
4,4,1,4,"true","true",256,2,1.24879203669815e-10,120,"RS"
12,6,1,2,"true","true",256,2,1.36286375373921e-10,120,"RS"
4,4,1,2,"true","true",256,1,1.2942682127942e-10,120,"RS"
4,4,1,4,"true","false",256,2,1.25602448835109e-10,120,"RS"
12,6,2,2,"true","false",1024,8,1.48303863941963e-10,120,"RS"
6,6,1,2,"true","true",512,1,1.19115341444505e-10,120,"RS"
6,6,1,4,"true","false",512,8,1.18483530341257e-10,120,"RS"
5,5,1,4,"true","false",512,2,1.22636208874517e-10,120,"RS"
12,6,2,4,"true","true",512,1,1.4255631753089e-10,120,"RS"
6,6,1,4,"true","true",256,8,1.19614452797975e-10,120,"RS"
6,6,1,4,"true","true",1024,2,1.18398283203908e-10,120,"RS"
6,6,1,4,"true","false",1024,32,1.30129748438669e-10,120,"RS"
4,4,1,4,"true","true",1024,2,1.26775681322061e-10,120,"RS"
5,5,1,4,"true","false",128,1,1.21549064031158e-10,120,"RS"
3,3,1,4,"true","true",128,2,1.36538375119979e-10,120,"RS"
5,5,1,4,"true","false",512,1,1.26528922085328e-10,120,"RS"
4,4,1,2,"true","false",512,1,1.30767911062145e-10,120,"RS"
4,4,1,4,"true","false",1024,32,1.32905198650076e-10,120,"RS"
4,4,1,2,"true","true",512,2,1.26998171643399e-10,120,"RS"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"RS"
12,6,1,2,"true","true",512,8,1.37483429796381e-10,120,"RS"
5,5,1,4,"true","true",1024,1,1.31190112887501e-10,120,"RS"
4,4,1,4,"true","false",256,1,1.26186033154576e-10,120,"RS"
5,5,1,2,"true","true",512,8,1.18628082806223e-10,120,"RS"
6,6,1,2,"true","false",512,4,1.23019310645269e-10,120,"RS"
6,6,1,4,"true","true",128,2,1.18746687810648e-10,120,"RS"
12,6,2,4,"true","true",512,16,1.38763387608331e-10,120,"RS"
6,6,1,4,"true","false",512,1,1.25632486846433e-10,120,"RS"
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,120,"RS"
3,3,1,4,"true","true",256,4,1.35697524537269e-10,120,"RS"
6,6,1,2,"true","true",256,8,1.19422931122937e-10,120,"RS"
5,5,1,4,"true","true",512,16,1.25745008277944e-10,120,"RS"
24,6,4,4,"true","false",256,2,1.5008662723196e-10,120,"RS"
5,5,1,4,"true","false",128,1,1.21549064031158e-10,120,"RS"
4,4,1,4,"true","false",512,16,1.25718814598265e-10,120,"RS"
20,5,1,4,"true","true",128,1,1.4888090679988e-10,120,"RS"
4,4,1,4,"true","true",256,1,1.27412788675057e-10,120,"RS"
4,4,1,2,"true","true",1024,16,1.32280083828985e-10,120,"RS"
8,4,1,2,"true","true",512,16,1.48996699528976e-10,120,"RS"
4,4,1,2,"true","true",1024,8,1.31407778250902e-10,120,"RS"
6,6,1,2,"true","true",512,1,1.19115341444505e-10,120,"RS"
5,5,1,2,"true","false",512,8,1.1931257630123e-10,120,"RS"
12,6,2,4,"true","true",256,4,1.35662211876773e-10,120,"RS"
5,5,1,2,"true","false",256,8,1.21265648195401e-10,120,"RS"
5,5,1,2,"true","true",512,1,1.22127353136702e-10,120,"RS"
5,5,1,2,"true","true",1024,4,1.22095092329485e-10,120,"RS"
