"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
4,4,1,2,"true","true",1024,4,1.31720001363936e-10,120,"RS"
4,4,1,2,"true","true",512,8,1.30182841859248e-10,120,"RS"
5,5,1,4,"true","true",1024,16,1.26535757573826e-10,120,"RS"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"RS"
20,5,4,4,"true","true",512,8,1.55843885481994e-10,120,"RS"
4,4,1,2,"true","true",512,4,1.29084319981407e-10,120,"RS"
6,6,1,2,"true","false",512,2,1.20524589039226e-10,120,"RS"
6,6,1,4,"true","true",512,1,1.21269798663001e-10,120,"RS"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,120,"RS"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"RS"
10,5,2,2,"true","false",512,16,1.43737559930213e-10,120,"RS"
12,6,2,2,"true","false",512,8,1.40111758546198e-10,120,"RS"
12,6,2,4,"true","true",256,8,1.36151746319787e-10,120,"RS"
5,5,1,2,"true","false",128,4,1.18634851028728e-10,120,"RS"
6,6,1,4,"true","true",1024,16,1.22014273387987e-10,120,"RS"
6,6,1,4,"true","true",256,1,1.20016645514951e-10,120,"RS"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"RS"
5,5,1,2,"true","true",1024,16,1.29008091384591e-10,120,"RS"
4,4,1,4,"true","true",1024,2,1.26775681322061e-10,120,"RS"
4,4,1,4,"true","false",1024,32,1.32905198650076e-10,120,"RS"
6,6,1,2,"true","true",128,1,1.18258966570151e-10,120,"RS"
5,5,1,4,"true","false",256,4,1.21905973842592e-10,120,"RS"
4,4,1,4,"true","true",128,4,1.26678340558663e-10,120,"RS"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,120,"RS"
6,6,1,4,"true","true",1024,16,1.22014273387987e-10,120,"RS"
6,6,1,4,"true","false",64,2,1.28698830020673e-10,120,"RS"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,120,"RS"
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,120,"RS"
5,5,1,4,"true","false",256,8,1.28517800164082e-10,120,"RS"
12,6,1,2,"true","false",128,2,1.37325279558869e-10,120,"RS"
3,3,1,2,"true","true",512,4,1.37224255132475e-10,120,"RS"
4,4,1,2,"true","false",128,1,1.279739790298e-10,120,"RS"
12,6,1,4,"true","true",512,4,1.3724725336929e-10,120,"RS"
5,5,1,2,"true","false",1024,2,1.24220644460169e-10,120,"RS"
5,5,1,4,"true","true",512,8,1.22633247365792e-10,120,"RS"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"RS"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"RS"
6,6,1,2,"true","false",1024,4,1.18746991977228e-10,120,"RS"
4,4,1,4,"true","true",1024,4,1.28144380123423e-10,120,"RS"
6,6,1,4,"true","true",256,4,1.19017999801124e-10,120,"RS"
20,5,1,4,"true","true",128,2,1.48145545150799e-10,120,"RS"
6,6,1,2,"true","true",512,4,1.1835008391896e-10,120,"RS"
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"RS"
4,4,1,2,"true","true",512,8,1.30182841859248e-10,120,"RS"
6,6,1,2,"true","false",256,8,1.20906299051561e-10,120,"RS"
4,4,1,4,"true","true",1024,1,1.38044091047538e-10,120,"RS"
6,6,1,2,"true","false",1024,2,1.20524986739671e-10,120,"RS"
4,4,1,2,"true","true",256,4,1.27103827056844e-10,120,"RS"
12,6,1,4,"true","true",256,2,1.39570263805193e-10,120,"RS"
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,120,"RS"
4,4,1,4,"true","true",512,4,1.25569585107033e-10,120,"RS"
10,5,2,4,"true","true",512,2,1.42353070684658e-10,120,"RS"
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"RS"
6,6,1,4,"true","true",1024,8,1.20170053330998e-10,120,"RS"
10,5,2,2,"true","true",256,8,1.44372477629926e-10,120,"RS"
6,6,1,4,"true","false",1024,16,1.22460968799545e-10,120,"RS"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"RS"
3,3,1,4,"true","true",512,8,1.38397781386379e-10,120,"RS"
5,5,1,4,"true","false",128,1,1.21549064031158e-10,120,"RS"
4,4,1,2,"true","true",256,1,1.2942682127942e-10,120,"RS"
5,5,1,4,"true","false",128,4,1.22895935866513e-10,120,"RS"
5,5,1,2,"true","true",512,4,1.180929223999e-10,120,"RS"
6,6,1,4,"true","false",512,8,1.18483530341257e-10,120,"RS"
4,4,1,2,"true","false",1024,8,1.29741612786399e-10,120,"RS"
12,6,2,4,"true","true",512,2,1.42113538419092e-10,120,"RS"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"RS"
8,4,2,2,"true","false",1024,8,1.46336484335808e-10,120,"RS"
5,5,1,4,"true","true",1024,1,1.31190112887501e-10,120,"RS"
4,4,1,2,"true","true",128,1,1.2777883632919e-10,120,"RS"
4,4,1,2,"true","false",256,2,1.27851671079944e-10,120,"RS"
3,3,1,2,"true","false",256,2,1.3882452429761e-10,120,"RS"
6,6,1,2,"true","true",1024,1,1.25629960742448e-10,120,"RS"
6,6,1,2,"true","false",256,1,1.18202032710546e-10,120,"RS"
4,4,1,4,"true","false",512,2,1.25669123061854e-10,120,"RS"
5,5,1,4,"true","false",1024,1,1.29873128128308e-10,120,"RS"
4,4,1,2,"true","false",128,2,1.27175815907958e-10,120,"RS"
6,6,1,2,"true","true",128,2,1.18080485105728e-10,120,"RS"
6,6,1,2,"true","true",64,1,1.29288983838249e-10,120,"RS"
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"RS"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"RS"
5,5,1,4,"true","false",512,2,1.22636208874517e-10,120,"RS"
4,4,1,4,"true","true",512,16,1.27430932130334e-10,120,"RS"
6,6,1,2,"true","false",256,8,1.20906299051561e-10,120,"RS"
4,4,1,2,"true","false",1024,8,1.29741612786399e-10,120,"RS"
3,3,1,2,"true","false",1024,16,1.4068692679941e-10,120,"RS"
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"RS"
4,4,1,4,"true","false",512,16,1.25718814598265e-10,120,"RS"
6,6,1,2,"true","false",1024,4,1.18746991977228e-10,120,"RS"
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"RS"
6,6,1,4,"true","false",256,4,1.18527144018137e-10,120,"RS"
5,5,1,2,"true","false",256,4,1.17561537135523e-10,120,"RS"
12,6,1,4,"true","true",64,2,1.3941732115394e-10,120,"RS"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"RS"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,120,"RS"
12,6,2,4,"true","true",256,1,1.38642807344938e-10,120,"RS"
6,6,1,4,"true","true",256,2,1.19195652830312e-10,120,"RS"
3,3,1,2,"true","false",512,2,1.36591161597662e-10,120,"RS"
4,4,1,4,"true","true",128,1,1.26537074253064e-10,120,"RS"
5,5,1,4,"true","true",512,4,1.23323792879451e-10,120,"RS"
6,6,1,2,"true","false",128,2,1.17976523819686e-10,120,"RS"
5,5,1,2,"true","true",1024,2,1.23041421447138e-10,120,"RS"
12,6,1,2,"true","false",512,8,1.4229777239301e-10,120,"RS"
3,3,1,4,"true","true",128,2,1.36538375119979e-10,120,"RS"
4,4,1,2,"true","true",128,4,1.28897045181826e-10,120,"RS"
5,5,1,2,"true","false",512,16,1.22509128810307e-10,120,"RS"
8,4,1,2,"true","false",64,2,1.48328077807435e-10,120,"RS"
6,6,1,4,"true","true",256,1,1.20016645514951e-10,120,"RS"
10,5,1,2,"true","true",1024,8,1.49728826550767e-10,120,"RS"
5,5,1,2,"true","false",512,2,1.19264177349936e-10,120,"RS"
5,5,1,2,"true","false",256,4,1.17561537135523e-10,120,"RS"
6,6,1,4,"true","true",256,4,1.19017999801124e-10,120,"RS"
6,6,1,4,"true","false",256,4,1.18527144018137e-10,120,"RS"
3,3,1,4,"true","true",512,2,1.35560093260181e-10,120,"RS"
6,6,1,2,"true","true",128,4,1.20030993404934e-10,120,"RS"
